protocol,model,seed,split,rmse,relative_error,mean_observed_length,n_observations,n_case_time_groups
replicate,phytoode,1,train,0.746175632828356,13.034133266507439,5.724781368821292,1052,70
replicate,phytoode,1,val,0.7197259707724134,12.357694285298603,5.824112121212121,330,70
replicate,phytoode,1,test,0.7719489811024229,13.601294937029007,5.675555045871561,436,70
replicate,phytoode,2,train,0.7581102461472567,13.242606089310769,5.724781368821292,1052,70
replicate,phytoode,2,val,0.7167958478739656,12.307384077708743,5.824112121212121,330,70
replicate,phytoode,2,test,0.7808527500682461,13.758174200710886,5.675555045871561,436,70
replicate,phytoode,3,train,0.756632506311808,13.21679305401309,5.724781368821292,1052,70
replicate,phytoode,3,val,0.718266005637495,12.332626685215816,5.824112121212121,330,70
replicate,phytoode,3,test,0.7835242803786967,13.80524502090131,5.675555045871561,436,70
replicate,latent_ode,1,train,0.7545395726882429,13.180233865308283,5.724781368821292,1052,70
replicate,latent_ode,1,val,0.7154861085947016,12.284895855435451,5.824112121212121,330,70
replicate,latent_ode,1,test,0.7778771899379949,13.70574655079468,5.675555045871561,436,70
replicate,latent_ode,2,train,0.7572731488272088,13.227983743650425,5.724781368821292,1052,70
replicate,latent_ode,2,val,0.716901210727329,12.30919315780835,5.824112121212121,330,70
replicate,latent_ode,2,test,0.786556074671028,13.858663484255596,5.675555045871561,436,70
replicate,latent_ode,3,train,0.7535102522278797,13.16225378198197,5.724781368821292,1052,70
replicate,latent_ode,3,val,0.7150159271909877,12.27682284114712,5.824112121212121,330,70
replicate,latent_ode,3,test,0.7800800143233114,13.744559043449806,5.675555045871561,436,70
replicate,light_pinn,1,train,0.7658780044266705,13.378292638350338,5.724781368821292,1052,70
replicate,light_pinn,1,val,0.7216950194068246,12.391502848620032,5.824112121212121,330,70
replicate,light_pinn,1,test,0.7908869133595343,13.934970359151587,5.675555045871561,436,70
replicate,light_pinn,2,train,0.7725589689263399,13.494995164949094,5.724781368821292,1052,70
replicate,light_pinn,2,val,0.7303761362984935,12.540557618016576,5.824112121212121,330,70
replicate,light_pinn,2,test,0.798368658665978,14.066794387743926,5.675555045871561,436,70
replicate,light_pinn,3,train,0.763489912651338,13.336577651847294,5.724781368821292,1052,70
replicate,light_pinn,3,val,0.7269920065101103,12.482452112525744,5.824112121212121,330,70
replicate,light_pinn,3,test,0.7893532135291089,13.907947454465974,5.675555045871561,436,70
replicate,lstm,1,train,0.7411869806188474,12.946991908818601,5.724781368821292,1052,70
replicate,lstm,1,val,0.7125914262179535,12.235194161572016,5.824112121212121,330,70
replicate,lstm,1,test,0.7733919359819141,13.626718968120747,5.675555045871561,436,70
replicate,lstm,2,train,0.7362504328337437,12.860760706837867,5.724781368821292,1052,70
replicate,lstm,2,val,0.7222701102731772,12.401377158289625,5.824112121212121,330,70
replicate,lstm,2,test,0.7717143213326243,13.597160367495242,5.675555045871561,436,70
replicate,lstm,3,train,0.7392459155828145,12.913085547842014,5.724781368821292,1052,70
replicate,lstm,3,val,0.7221939128558473,12.400068848701071,5.824112121212121,330,70
replicate,lstm,3,test,0.7773217450434892,13.695959932745584,5.675555045871561,436,70
replicate,rf,1,train,0.7313465311445604,12.775099764118007,5.724781368821292,1052,70
replicate,rf,1,val,0.7281020580145756,12.501511695881332,5.824112121212121,330,70
replicate,rf,1,test,0.7776934946329147,13.702509945676846,5.675555045871561,436,70
replicate,rf,2,train,0.7311137067446927,12.77103280706117,5.724781368821292,1052,70
replicate,rf,2,val,0.7288871106780489,12.514991049422862,5.824112121212121,330,70
replicate,rf,2,test,0.778814202652444,13.722256173322801,5.675555045871561,436,70
replicate,rf,3,train,0.7314520989659361,12.77694381395283,5.724781368821292,1052,70
replicate,rf,3,val,0.7280600286415374,12.500790051583223,5.824112121212121,330,70
replicate,rf,3,test,0.7782534512288031,13.71237605729699,5.675555045871561,436,70
replicate,light_logistic,1,train,0.820689260502108,14.335731054670555,5.724781368821292,1052,70
replicate,light_logistic,1,val,0.8020021165929819,13.770375636691353,5.824112121212121,330,70
replicate,light_logistic,1,test,0.8435177348132665,14.862295017768304,5.675555045871561,436,70
replicate,logistic,1,train,0.8070493612436463,14.09747044033953,5.724781368821292,1052,70
replicate,logistic,1,val,0.7713341310846836,13.243806352480602,5.824112121212121,330,70
