protocol,seed,max_absolute_difference_mm,rms_difference_mm
replicate,1,9.547471563564613e-06,2.6134844119951595e-06
replicate,2,1.9094943581876578e-06,6.194831030370551e-07
replicate,3,9.547471563564613e-06,1.789753127923177e-06
time_holdout,1,2.8642416509683244e-06,7.293043609024608e-07
time_holdout,2,1.9094943581876578e-06,8.185251658687775e-07
time_holdout,3,2.8642416509683244e-06,6.231051088434469e-07
