split,curve,genotype,rmse,n_observed
train,0,33,0.03269048890679003,67
train,1,33,0.0165685931099952,59
train,2,106,0.03333601101388418,67
train,3,106,0.02034450229315409,59
train,4,122,0.01682747096798462,67
train,5,122,0.021206881094676448,59
train,6,133,0.017730891764936682,67
train,7,133,0.027908865988346788,59
train,8,5,0.029092114412507978,67
train,9,5,0.01613450125638348,59
train,10,30,0.020942212420919756,67
train,11,30,0.016096453932027233,59
train,12,218,0.013525321030643259,67
train,13,218,0.014866225577908341,59
train,14,2,0.032101881666590074,67
train,15,2,0.024262748613462712,59
train,16,17,0.017924281780012763,67
train,17,17,0.016732197930027178,59
train,18,254,0.014457363982146351,67
train,19,254,0.014416518045681682,59
train,20,282,0.023502703112514043,67
train,21,282,0.017011693838051914,59
train,22,294,0.020647980718693063,67
train,23,294,0.025957162163655647,59
train,24,301,0.018922979337827658,67
train,25,301,0.016882207108943604,59
train,26,302,0.01852339362710502,67
train,27,302,0.031900961372544764,59
train,28,335,0.02315105373470099,67
train,29,335,0.016500451012512844,59
train,30,339,0.013703330121190736,67
train,31,339,0.0169294746291164,59
train,32,341,0.01988040873513063,67
train,33,341,0.022187720283648196,59
train,34,6,0.03481990342664083,67
train,35,6,0.01858818926338521,59
train,36,362,0.020488056088714002,67
train,37,362,0.02391827384058205,59
val,0,33,0.03446949988383728,42
val,1,106,0.04940422449932662,42
val,2,122,0.03552238610483963,42
val,3,133,0.021438172527552934,42
val,4,5,0.021224431311953233,42
val,5,30,0.02430343115917662,42
val,6,218,0.03233862823206325,42
val,7,2,0.061735596219689076,42
val,8,17,0.05614916018491945,42
val,9,254,0.024059965178745615,42
val,10,282,0.0565613079746589,42
val,11,294,0.040238136177275764,42
val,12,301,0.038125726204833565,42
val,13,302,0.03996331570739582,42
val,14,335,0.04331459764798804,42
val,15,339,0.024394745709479602,42
val,16,341,0.03087270242191278,42
val,17,6,0.07171449884137075,42
val,18,362,0.040929454389683775,42
test,0,33,0.021086071607247705,72
test,1,106,0.029804355748225382,72
test,2,122,0.02667394219970758,72
test,3,133,0.024973202836085534,72
test,4,5,0.02474109923460911,72
test,5,30,0.02970983020561475,72
test,6,218,0.025304454900861483,72
test,7,2,0.04392850208327235,72
test,8,17,0.05212528963895832,72
test,9,254,0.024037251689155922,72
test,10,282,0.030823399413026413,72
test,11,294,0.03964888643061598,72
test,12,301,0.039588504925772754,72
test,13,302,0.03148652030057094,72
test,14,335,0.020832439319394307,72
test,15,339,0.02715729166536934,72
test,16,341,0.029409136266013658,72
test,17,6,0.036677824404274875,72
test,18,362,0.024614540942502247,72
