epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse
10,0.06447964161634445,0.06447964161634445,5.246210470795631,5.246210470795631,-1,
20,0.05577323958277702,0.05577323958277702,4.527872055768967,4.887041263282299,-1,
30,0.044631391763687134,0.044631391763687134,3.7052586674690247,4.4931137313445415,-1,
40,0.041773226112127304,0.041773226112127304,3.5321231931447983,4.252866096794605,-1,
50,0.04150907322764397,0.04150907322764397,3.381926566362381,4.07867819070816,-1,
60,0.041261859238147736,0.041261859238147736,3.5147909075021744,3.984696976840496,-1,
70,0.04107867553830147,0.04107867553830147,3.395707905292511,3.90055568090507,-1,
80,0.0409117229282856,0.0409117229282856,3.437795490026474,3.842710657045245,-1,
90,0.04081273823976517,0.04081273823976517,3.485913947224617,3.8030665781762867,-1,
100,0.040720049291849136,0.040720049291849136,3.4725744277238846,3.7700173631310467,-1,
110,0.0405895970761776,0.0405895970761776,3.468041867017746,3.592200502753258,-1,
120,0.0403897762298584,0.0403897762298584,3.461587429046631,3.4855720400810237,-1,
130,0.04009730741381645,0.04009730741381645,3.447582572698593,3.4598044306039815,-1,
140,0.03972441703081131,0.03972441703081131,3.423372283577919,3.4489293396472926,-1,
150,0.039161261171102524,0.039161261171102524,3.362737223505974,3.4470104053616524,-1,
160,0.03836725279688835,0.03836725279688835,3.3502373844385147,3.4305550530552864,-1,
170,0.03793957084417343,0.03793957084417343,3.5261720418930054,3.4436014667153363,-1,
180,0.037555743008852005,0.037555743008852005,3.4182991832494736,3.4416518360376362,-1,
190,0.0369357131421566,0.0369357131421566,3.380095958709717,3.431070037186146,-1,
200,0.03614801913499832,0.03614801913499832,3.372989222407341,3.421111516654492,-1,
210,0.035618968307971954,0.035618968307971954,3.42588908970356,3.416896238923073,-1,
220,0.03452702984213829,0.03452702984213829,3.273087367415428,3.3980462327599525,-1,
230,0.034386806190013885,0.034386806190013885,3.2220203429460526,3.3754900097846985,-1,
240,0.033960454165935516,0.033960454165935516,3.276274725794792,3.3607802540063862,-1,
250,0.033825721591711044,0.033825721591711044,3.2878924161195755,3.3532957732677464,-1,
260,0.03387485072016716,0.03387485072016716,3.3224981278181076,3.3505218476057053,-1,
270,0.03371915966272354,0.03371915966272354,3.2170582562685013,3.319610469043255,-1,
280,0.0335221141576767,0.0335221141576767,3.341936320066452,3.3119741827249527,-1,
290,0.03351776674389839,0.03351776674389839,3.251110389828682,3.2990756258368488,-1,
300,0.03335513174533844,0.03335513174533844,3.3057577908039093,3.292352482676506,300,3.292352482676506
310,0.03336585685610771,0.03336585685610771,3.2681550830602646,3.2765790820121765,310,3.2765790820121765
320,0.03336449712514877,0.03336449712514877,3.2581470906734467,3.2750850543379784,320,3.2750850543379784
330,0.03330627828836441,0.03330627828836441,3.311929479241371,3.2840759679675107,320,3.2750850543379784
340,0.033300478011369705,0.033300478011369705,3.26993390917778,3.2834418863058086,320,3.2750850543379784
350,0.03328944742679596,0.03328944742679596,3.331620618700981,3.2878147065639496,320,3.2750850543379784
360,0.03329811617732048,0.03329811617732048,3.3330753445625305,3.2888724282383914,320,3.2750850543379784
370,0.03331537917256355,0.03331537917256355,3.357020765542984,3.30286867916584,320,3.2750850543379784
380,0.0333506241440773,0.0333506241440773,3.331156447529793,3.3017906919121742,320,3.2750850543379784
390,0.033290620893239975,0.033290620893239975,3.3010363578796387,3.3067832887172703,320,3.2750850543379784
400,0.03330931439995766,0.03330931439995766,3.342890739440918,3.3104965835809708,320,3.2750850543379784
410,0.03326684236526489,0.03326684236526489,3.301253542304039,3.313806429505348,320,3.2750850543379784
420,0.0334148146212101,0.0334148146212101,3.2547269016504288,3.313464410603047,320,3.2750850543379784
430,0.03326581045985222,0.03326581045985222,3.3441822975873947,3.3166896924376488,320,3.2750850543379784
440,0.033307380974292755,0.033307380974292755,3.3514466136693954,3.3248409628868103,320,3.2750850543379784
450,0.03325260430574417,0.03325260430574417,3.306998685002327,3.322378769516945,320,3.2750850543379784
460,0.03335725888609886,0.03335725888609886,3.26262004673481,3.315333239734173,320,3.2750850543379784
470,0.03324643895030022,0.03324643895030022,3.3292368054389954,3.3125548437237735,320,3.2750850543379784
480,0.03329844027757645,0.03329844027757645,3.3568117767572403,3.3151203766465187,320,3.2750850543379784
490,0.03324224799871445,0.03324224799871445,3.3130519092082977,3.3163219317793846,320,3.2750850543379784
