epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse
10,0.13458454608917236,0.13458454608917236,91.42473699932546,91.42473699932546,10,91.42473699932546
20,0.09156973659992218,0.09156973659992218,68.76417514321358,68.76417514321358,20,68.76417514321358
30,0.07014286518096924,0.07014286518096924,63.190687317861915,63.190687317861915,30,63.190687317861915
40,0.060036737471818924,0.060036737471818924,59.22411646051079,59.22411646051079,40,59.22411646051079
50,0.053988970816135406,0.053988970816135406,62.39910122429699,62.39910122429699,40,59.22411646051079
60,0.05097944661974907,0.05097944661974907,64.4404030241257,64.4404030241257,40,59.22411646051079
70,0.049823351204395294,0.049823351204395294,62.15502651050091,62.15502651050091,40,59.22411646051079
80,0.04889421910047531,0.04889421910047531,66.18722132178962,66.18722132178962,40,59.22411646051079
90,0.0486164428293705,0.0486164428293705,70.15439817931116,70.15439817931116,40,59.22411646051079
100,0.048194561153650284,0.048194561153650284,73.14914676338196,73.14914676338196,40,59.22411646051079
110,0.05017494037747383,0.05017494037747383,80.56526607463091,80.56526607463091,40,59.22411646051079
120,0.047797683626413345,0.047797683626413345,92.05098278833151,92.05098278833151,40,59.22411646051079
130,0.046448126435279846,0.046448126435279846,105.93453140211851,105.93453140211851,40,59.22411646051079
140,0.04711351916193962,0.04711351916193962,131.05784537012102,131.05784537012102,40,59.22411646051079
150,0.04703149199485779,0.04703149199485779,147.14150692516924,147.14150692516924,40,59.22411646051079
160,0.04664172977209091,0.04664172977209091,195.09456105492174,195.09456105492174,40,59.22411646051079
170,0.046250708401203156,0.046250708401203156,196.61469619206727,196.61469619206727,40,59.22411646051079
180,0.045436497777700424,0.045436497777700424,237.1295869398558,237.1295869398558,40,59.22411646051079
190,0.04462043195962906,0.04462043195962906,237.11097687010647,237.11097687010647,40,59.22411646051079
200,0.04441893473267555,0.04441893473267555,258.41791679718733,258.41791679718733,40,59.22411646051079
210,0.04350855201482773,0.04350855201482773,267.45409611239074,267.45409611239074,40,59.22411646051079
220,0.04278765991330147,0.04278765991330147,294.4450048636329,294.4450048636329,40,59.22411646051079
230,0.04453691095113754,0.04453691095113754,307.6045396609211,307.6045396609211,40,59.22411646051079
240,0.046804722398519516,0.046804722398519516,318.6671053524041,318.6671053524041,40,59.22411646051079
250,0.056931428611278534,0.056931428611278534,314.57507942751647,314.57507942751647,40,59.22411646051079
260,0.046308305114507675,0.046308305114507675,324.5777834016073,324.5777834016073,40,59.22411646051079
270,0.04275713860988617,0.04275713860988617,333.4412591843748,333.4412591843748,40,59.22411646051079
