epoch,selection_eligible,train_objective,val_rmse,val_rmse_smooth,seconds
10,False,0.6967975497245789,294.8176754200423,294.8176754200423,0.05978420004248619
20,False,0.6466062664985657,259.5264409798765,259.5264409798765,0.11398379877209663
30,False,0.5938069820404053,228.1023216916752,228.1023216916752,0.18036869168281555
40,False,0.5461952686309814,211.3755831815976,211.3755831815976,0.2516125440597534
50,False,0.5147145986557007,216.2160388653338,216.2160388653338,0.3345905467867851
60,False,0.5010330677032471,228.83126821923852,228.83126821923852,0.399270199239254
70,False,0.49092262983322144,225.74687070673227,225.74687070673227,0.48702291026711464
80,False,0.47721391916275024,208.6762890031904,208.6762890031904,0.5473149418830872
90,False,0.4616718292236328,189.30888846022546,189.30888846022546,0.6077901795506477
100,False,0.4442257285118103,169.06214908934177,169.06214908934177,0.6643883250653744
110,False,0.4253696799278259,141.58028897423566,141.58028897423566,0.7254665791988373
120,False,0.40512895584106445,109.73328582518221,109.73328582518221,0.7826509289443493
130,False,0.38370078802108765,81.2955679574141,81.2955679574141,0.8401033878326416
140,False,0.36108896136283875,57.668038345516024,57.668038345516024,0.896512720733881
150,False,0.34253066778182983,44.05093432278335,44.05093432278335,0.953978668898344
160,False,0.33238545060157776,44.261929898245185,44.261929898245185,1.0117604583501816
170,False,0.33000054955482483,48.88830136048973,48.88830136048973,1.068281129002571
180,False,0.32853320240974426,48.59791324657336,48.59791324657336,1.1241308189928532
190,False,0.3278943598270416,48.15967086527333,48.15967086527333,1.1816235147416592
200,False,0.32753700017929077,48.8970818468298,48.8970818468298,1.2373991310596466
210,False,0.3272165358066559,49.92669242668301,49.92669242668301,1.2919398620724678
220,False,0.3269466459751129,50.68820983437315,50.68820983437315,1.3459668420255184
230,False,0.32670858502388,51.40362235813066,51.40362235813066,1.402526382356882
240,False,0.3264883756637573,51.83590247968957,51.83590247968957,1.4569158181548119
250,False,0.3262670934200287,51.75721368336841,51.75721368336841,1.5132375843822956
260,False,0.32604506611824036,52.30282235292479,52.30282235292479,1.5675255917012691
270,False,0.3258320689201355,52.75401228625283,52.75401228625283,1.6246488206088543
280,False,0.32560887932777405,53.20459947747588,53.20459947747588,1.678650412708521
290,False,0.32538431882858276,53.279150530698004,53.279150530698004,1.7340254820883274
300,False,0.3251607120037079,53.912277353897096,53.912277353897096,1.7894038669764996
310,False,0.3249337673187256,54.04411497161552,54.04411497161552,1.845084298402071
320,False,0.3246876299381256,54.13904196605131,54.13904196605131,1.9002084881067276
330,False,0.32441192865371704,54.5906912866053,54.5906912866053,1.9546387232840061
340,False,0.3240915834903717,55.11813298331112,55.11813298331112,2.0084540508687496
350,False,0.3237592577934265,54.660003370612266,54.660003370612266,2.0623447969555855
360,False,0.3234559893608093,54.571015829459576,54.571015829459576,2.1271743066608906
370,False,0.3232022821903229,54.49069474235684,54.49069474235684,2.182293713092804
380,False,0.3229713439941406,54.87302220470757,54.87302220470757,2.23678507655859
390,False,0.3227679133415222,54.5039811331898,54.5039811331898,2.2913609631359577
400,False,0.32256919145584106,54.71692828984558,54.71692828984558,2.351153325289488
410,False,0.322393000125885,54.850978133992555,54.850978133992555,2.4104071259498596
420,False,0.3222147226333618,54.99252152863384,54.99252152863384,2.465857282280922
430,False,0.3220325708389282,55.04381651080013,55.04381651080013,2.5241611525416374
