dataset,source_variant,seed,split,rmse,relative_error,unit,source,model,lambda_ode,lambda_k
arabidopsis,joint,1,val,3.229714874025894,16.039859785789265,cm,experiments/results/joint_lambda_tuning_20260908/arabidopsis/final/selected_phyto/seed1,PhytoODE (adopted),0.5,0.1
arabidopsis,joint,1,test,2.781703001630965,13.967683647123405,cm,experiments/results/joint_lambda_tuning_20260908/arabidopsis/final/selected_phyto/seed1,PhytoODE (adopted),0.5,0.1
arabidopsis,joint,2,train,1.4214844955157513,6.756342872783174,cm,experiments/results/joint_lambda_tuning_20260908/arabidopsis/final/selected_phyto/seed2,PhytoODE (adopted),0.5,0.1
arabidopsis,joint,2,val,3.172859383148438,15.757496129151724,cm,experiments/results/joint_lambda_tuning_20260908/arabidopsis/final/selected_phyto/seed2,PhytoODE (adopted),0.5,0.1
arabidopsis,joint,2,test,2.8036360635644866,14.077815487338038,cm,experiments/results/joint_lambda_tuning_20260908/arabidopsis/final/selected_phyto/seed2,PhytoODE (adopted),0.5,0.1
arabidopsis,joint,3,train,1.4504051118719203,6.893803112983404,cm,experiments/results/joint_lambda_tuning_20260908/arabidopsis/final/selected_phyto/seed3,PhytoODE (adopted),0.5,0.1
arabidopsis,joint,3,val,3.1718268536204155,15.75236823721694,cm,experiments/results/joint_lambda_tuning_20260908/arabidopsis/final/selected_phyto/seed3,PhytoODE (adopted),0.5,0.1
arabidopsis,joint,3,test,2.813665003675249,14.12817350999572,cm,experiments/results/joint_lambda_tuning_20260908/arabidopsis/final/selected_phyto/seed3,PhytoODE (adopted),0.5,0.1
arabidopsis,no_biological_loss,1,train,1.18551244400163,5.634763218940378,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed1,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,1,val,3.244257551583023,16.11208365632417,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed1,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,1,test,3.022882019707089,15.178708772679949,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed1,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,2,train,1.1604223947304673,5.515509737030613,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed2,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,2,val,3.2581472468956663,16.18106459550052,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed2,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,2,test,2.917312089438548,14.64861357999572,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed2,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,3,train,1.216690281779793,5.782952075537687,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed3,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,3,val,3.33094080085902,16.542582080610917,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed3,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,3,test,3.0392978690349306,15.261137195151973,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed3,Latent Neural ODE (no physics),0.0,0.0
