dataset,model,lambda_ode,lambda_k,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,n_seeds
wheat,PhytoODE (adopted),3.16227766,0.1,train,0.022309364304941636,6.6691943981587e-05,7.452702583123998,0.022279219452040467,3
wheat,PhytoODE (adopted),3.16227766,0.1,val,0.03768041389126794,0.0007745386072791828,11.304841223885752,0.2323763216170465,3
wheat,PhytoODE (adopted),3.16227766,0.1,test,0.0303216766451837,0.0006623703819780036,10.237333752762495,0.22363231254004573,3
wheat,Latent Neural ODE (no physics),0.0,0.0,train,0.0210797654403747,5.751183826439855e-05,7.041940783329717,0.01921249838115384,3
wheat,Latent Neural ODE (no physics),0.0,0.0,val,0.038341788804508496,0.00087031144814811,11.503266283791426,0.2611099964303756,3
wheat,Latent Neural ODE (no physics),0.0,0.0,test,0.030912635358158736,0.00023246885018011223,10.436855753132784,0.07848712438508201,3
maize,PhytoODE (adopted),0.5,0.5,train,41.897380504492105,14.370437333043832,13.427161287558368,4.60539961019381,3
maize,PhytoODE (adopted),0.5,0.5,val,47.24654463297455,2.6005900072494796,18.64057950308329,1.0260328064546962,3
maize,PhytoODE (adopted),0.5,0.5,test,56.68436718577385,4.3696316962936335,18.398788964338056,1.4183087052644419,3
maize,Latent Neural ODE (no physics),0.0,0.0,train,43.25181514960755,5.757829332030248,13.861226907280633,1.8452538601814406,3
maize,Latent Neural ODE (no physics),0.0,0.0,val,60.752947446188216,10.025984698537862,23.969375024452756,3.9556366782292947,3
maize,Latent Neural ODE (no physics),0.0,0.0,test,67.78140441037421,13.620087806329312,22.000699970165897,4.4208506448193825,3
arabidopsis,PhytoODE (adopted),0.5,0.1,train,1.4210570989820959,0.029564028266747942,6.754311448920919,0.1405183892620164,3
arabidopsis,PhytoODE (adopted),0.5,0.1,val,3.1914670369315825,0.0331276215732626,15.849908050719309,0.16452300769493708,3
arabidopsis,PhytoODE (adopted),0.5,0.1,test,2.7996680229569004,0.016346296319573014,14.05789088148572,0.08207917799278437,3
arabidopsis,Latent Neural ODE (no physics),0.0,0.0,train,1.1875417068372969,0.028188778068427952,5.644408343836226,0.13398179888412276,3
arabidopsis,Latent Neural ODE (no physics),0.0,0.0,val,3.277781866445903,0.046557868721871905,16.278576777478534,0.23122217141513132,3
arabidopsis,Latent Neural ODE (no physics),0.0,0.0,test,2.993163992726856,0.06620047924020411,15.029486515942546,0.33241052361556395,3
