additional_prefix_drop,seed,split,rmse,relative_error,mean_target,pooled_rmse,n_plants,n_observations
0.0,1,train,0.465282811822309,13.408908908072503,3.4699528128063943,0.5549128415674367,157,551
0.0,1,val,0.5756609700219706,10.131907911380862,5.6816640563358085,0.7719803470145581,128,128
0.0,1,test,1.6751626906433568,22.44582562941182,7.463136880330713,1.904042660702171,136,263
0.0,2,train,0.4704312859330928,13.557281937578338,3.4699528128063943,0.5590902171921143,157,551
0.0,2,val,0.5678564888311084,9.994545316312271,5.6816640563358085,0.7364503105171061,128,128
0.0,2,test,1.3878081970039322,18.595507750387586,7.463136880330713,1.559148095725895,136,263
0.0,3,train,0.4703548329959533,13.555078652944113,3.4699528128063943,0.5585505564769843,157,551
0.0,3,val,0.5744272478255443,10.11019381170525,5.6816640563358085,0.7723013648787627,128,128
0.0,3,test,1.6747218754056439,22.439919061640367,7.463136880330713,1.904204001055982,136,263
0.25,1,train,0.4319299049014862,12.374068838720378,3.490605317710134,0.5483150035266351,157,413
0.25,1,val,0.5478850140207214,9.6430378151468,5.681664061921765,0.7636223635146729,128,128
0.25,1,test,1.5642882923624333,20.96019838583818,7.4631368633388,1.7858039032111492,136,263
0.25,2,train,0.4018968833471158,11.435625302235485,3.514428574959966,0.5214137331969154,157,413
0.25,2,val,0.6028132250052878,10.60980056244387,5.6816640563358085,0.7886675376961548,128,128
0.25,2,test,1.425932348553705,19.106340556499585,7.463136880330713,1.5945162589971038,136,263
0.25,3,train,0.458825656739612,12.941985315898194,3.5452493998427075,0.5753400654117928,157,413
0.25,3,val,0.569117251091404,10.016735334021778,5.6816640563358085,0.7572042545585672,128,128
0.25,3,test,1.5830345643284691,21.21138322547181,7.463136880330713,1.8081598313858998,136,263
0.5,1,train,0.3885219118560052,11.352757525739085,3.4222690916734937,0.519751398394595,157,275
0.5,1,val,0.5658415736132302,9.959081858408291,5.6816640495378525,0.7880422011483322,128,128
0.5,1,test,1.6311639316695603,21.8562778187916,7.463136885399204,1.8663359178480445,136,263
0.5,2,train,0.3653730543665326,10.602939491965191,3.4459600061229145,0.5140710117852184,157,275
0.5,2,val,0.5889254046070855,10.365368292945016,5.6816640563358085,0.7796665795741777,128,128
0.5,2,test,1.2843351640505727,17.20905277022951,7.463136880330713,1.4340631681935847,136,263
0.5,3,train,0.3979343827917251,11.411774372606883,3.4870509159989793,0.5345738894062726,157,275
0.5,3,val,0.6153463152647018,10.830388923299143,5.681664062321186,0.8399699919850518,128,128
0.5,3,test,1.7321900800891248,23.209946567936907,7.463136871163837,1.9810720251063172,136,263
