protocol,model,no_input_test_rmse,light_input_test_rmse,test_rmse_change_mm,test_rmse_reduction_percent
replicate,phytoode_light,0.3646211461681273,0.3460184921317537,-0.018602654036373623,5.101913104018363
replicate,phytoode_light_anchor,0.3646211461681273,0.3293313826601623,-0.03528976350796498,9.678474185831455
time_holdout,phytoode_light,0.4418970598628693,0.2658361900715662,-0.1760608697913031,39.84205503560915
time_holdout,phytoode_light_anchor,0.4418970598628693,0.24125590198364752,-0.2006411578792218,45.40450165961396
