protocol,model,seed,data_loss,ode_loss,k_loss,weighted_ode,weighted_k
replicate,phytoode_light,1,0.013835636898875237,7.575822110084118e-06,0.011244123801589012,0.003787911055042059,0.0011244123801589013
replicate,phytoode_light,2,0.014455022290349007,7.277831173269078e-06,0.012406411580741405,0.003638915586634539,0.0012406411580741406
replicate,phytoode_light,3,0.013341667130589485,8.195527698262595e-06,0.002122375415638089,0.004097763849131297,0.00021223754156380893
replicate,phytoode_light_anchor,1,0.013037962839007378,1.2203212463646196e-05,0.016664832830429077,0.0006101606231823098,0.00016664832830429077
replicate,phytoode_light_anchor,2,0.011602381244301796,1.2558239177451469e-05,0.005813467316329479,0.0006279119588725735,5.8134673163294797e-05
replicate,phytoode_light_anchor,3,0.012819667346775532,1.2334238817857113e-05,0.010811221785843372,0.0006167119408928556,0.00010811221785843372
time_holdout,phytoode_light,1,0.00933593325316906,8.565420102968346e-06,0.004496174864470959,0.004282710051484173,0.0004496174864470959
time_holdout,phytoode_light,2,0.008712111040949821,8.836791494104546e-06,0.007745364215224981,0.004418395747052273,0.0007745364215224982
time_holdout,phytoode_light,3,0.010704522021114826,8.422864993917756e-06,0.004543229937553406,0.004211432496958878,0.0004543229937553406
time_holdout,phytoode_light_anchor,1,0.009286390617489815,1.8346539945923723e-05,0.006541567854583263,9.173269972961862e-05,0.0006541567854583263
time_holdout,phytoode_light_anchor,2,0.012779265642166138,1.75127643160522e-05,0.007327517960220575,8.756382158026099e-05,0.0007327517960220575
time_holdout,phytoode_light_anchor,3,0.008195756934583187,1.58810980792623e-05,0.005543571896851063,7.94054903963115e-05,0.0005543571896851063
