dataset,variant,split,mean_rmse_increase,sd_rmse_increase,error_increase_percent,full_model_better_seed_count,n_seeds
wheat,no_ode_residual,train,8.565413743022675e-05,0.00030833548319276176,0.38168506948725867,2,3
wheat,no_ode_residual,val,-0.00028878832897455176,0.0005907548818157584,-0.7591711327083694,1,3
wheat,no_ode_residual,test,-0.0001577283829234955,0.0004526432555069772,-0.5149620172269609,2,3
wheat,no_biological_loss,train,-0.0013612845973668235,0.0002348635369080236,-6.066046798511671,0,3
wheat,no_biological_loss,val,0.00030183752971624467,0.00024066800498987072,0.79347506923928,3,3
wheat,no_biological_loss,test,0.0002835058986982257,0.0003886484814851544,0.9256087381571243,2,3
maize,no_ode_residual,train,-3.806342132839054,5.8417999073486815,-9.084916734665438,1,3
maize,no_ode_residual,val,0.8961206542050041,1.9283143434481118,1.8966903530540424,2,3
maize,no_ode_residual,test,-0.8509821395080882,2.1189274253528843,-1.5012642493108075,1,3
maize,no_biological_loss,train,1.3544346451154468,19.936939812121846,3.2327430230876253,2,3
maize,no_biological_loss,val,13.50640281321367,8.73773692042226,28.587070055885544,3,3
maize,no_biological_loss,test,11.097037224600358,9.250465806824039,19.57689178787445,3,3
arabidopsis,no_ode_residual,train,0.014254819279467442,0.06259730193560151,1.0172567936719945,1,3
arabidopsis,no_ode_residual,val,-0.004045662290595775,0.104051699510306,-0.12465308044252721,2,3
arabidopsis,no_ode_residual,test,-0.013627004585311298,0.12356747054127552,-0.4754745269823668,2,3
arabidopsis,no_biological_loss,train,-0.21375827642571318,0.11604513309715844,-15.254283806381274,0,3
arabidopsis,no_biological_loss,val,0.03224451090372297,0.04830535784611646,0.9935029972359066,2,3
arabidopsis,no_biological_loss,test,0.1271840480606327,0.15845313195909644,4.437715912748463,2,3
