genotype,test_row,ours_rmse,lstm_rmse,lstm_minus_ours_rmse,ours_lower_rmse,rank_low_to_high,target_quantile,error_group
W814G,392,49.044152075065576,52.56381004048504,3.519657965419462,True,1,0.0,low
ICI 893,152,64.94719423423497,111.91435521876974,46.96716098453477,True,41,0.1,low
TZU-CHIAO-HSI-WU 105,363,75.91080958199234,69.07067743348847,-6.840132148503869,False,181,0.45,middle
LH224,206,79.44651826155688,114.19297742781384,34.74645916625697,True,222,0.55,middle
PHP55,312,95.74649488826445,56.304065450416395,-39.442429437848055,False,362,0.9,high
PHP85,314,141.01678744171608,116.00379340861532,-25.012994033100753,False,402,1.0,high
