epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse
20,0.1320316046476364,8.793217602942605e-06,0.0769851803779602,0.13324111700057983,1.764078614473343,1.764078614473343
40,0.04145914688706398,1.3451676750264596e-05,0.20792178809642792,0.044210948050022125,0.5829045421108603,1.1734915782921016
60,0.029770612716674805,9.547125046083238e-06,0.2285691350698471,0.032533660531044006,0.42211505347676576,0.9230327366869896
80,0.02702631615102291,1.0662743079592474e-05,0.2258109301328659,0.02981756255030632,0.39959617363102734,0.46820525640621785
100,0.0254623182117939,1.0707122783060186e-05,0.21365399658679962,0.028134213760495186,0.3672911738846451,0.39633413366414605
120,0.024089938029646873,9.722808499645907e-06,0.20132283866405487,0.02658930793404579,0.34695222300477324,0.3712798568401485
140,0.02293143980205059,8.037724910536781e-06,0.18006379902362823,0.02513396367430687,0.3329211087338626,0.3490548352077603
160,0.021962881088256836,5.9864350987481885e-06,0.1528099626302719,0.023790301755070686,0.3239182331096381,0.334597188282758
180,0.020777875557541847,5.53549170945189e-06,0.12348046153783798,0.0222894549369812,0.3158415487613529,0.3242269635349512
200,0.019068581983447075,6.406166903616395e-06,0.09874993562698364,0.02037638984620571,0.30872654967941343,0.31616211051680143
220,0.017682170495390892,8.3058748714393e-06,0.07630816847085953,0.01886054500937462,0.3039611045513302,0.30950973433069884
240,0.016817951574921608,9.33322462515207e-06,0.055218786001205444,0.0178368017077446,0.31873858921229836,0.310475414481014
260,0.01684889756143093,9.641477845434565e-06,0.03744598850607872,0.017705431208014488,0.31902627196535466,0.31390865524299444
280,0.016792908310890198,9.954796041711234e-06,0.028451163321733475,0.017575159668922424,0.3149718310050666,0.3175788973942399
300,0.016816195100545883,9.696774213807657e-06,0.029972029849886894,0.017600754275918007,0.3202024799454957,0.31806686097197234
320,0.01677190326154232,9.986919394577853e-06,0.027095621451735497,0.01754220575094223,0.3159855690132826,0.3170532933212816
340,0.016740765422582626,1.0011174708779436e-05,0.02778579294681549,0.017519181594252586,0.31160071963258085,0.3159295895304531
360,0.01672661304473877,9.92380410025362e-06,0.026377305388450623,0.0174865759909153,0.31780033662356433,0.31512887508980925
380,0.016747796908020973,9.917059287545271e-06,0.026056839153170586,0.017504218965768814,0.3213033558279276,0.31690147069469093
400,0.01671512797474861,9.973635314963758e-06,0.02550254762172699,0.017468836158514023,0.315069624742493,0.318057772397995
420,0.01683182269334793,9.803498869587202e-06,0.027914494276046753,0.017601143568754196,0.31981294042803343,0.318728640332818
440,0.016803164035081863,9.848905392573215e-06,0.026816844940185547,0.017563778907060623,0.3198392095584422,0.3182405915763229
460,0.01669122837483883,9.954238521459047e-06,0.0252925343811512,0.01744186505675316,0.31969715693593026,0.31978310230746865
480,0.016717523336410522,1.0124894288310315e-05,0.025193316861987114,0.017475701868534088,0.3143901537526399,0.3179755067490041
500,0.016672080382704735,1.010902451525908e-05,0.02535654976963997,0.017431097105145454,0.31555897673405703,0.31654876247420904
520,0.01667836122214794,1.0060696695290972e-05,0.02427850104868412,0.01742418110370636,0.3155169154610485,0.31515534864924843
540,0.016669614240527153,1.0094678145833313e-05,0.02417534962296486,0.017416100949048996,0.3138371987789869,0.3149710303246975
560,0.01669410429894924,1.0101152838615235e-05,0.02381978929042816,0.017437361180782318,0.3144978878516704,0.31461733403056863
580,0.016662290319800377,9.992459126806352e-06,0.023145923390984535,0.01739337295293808,0.3176094510164112,0.31531484588235614
600,0.016632473096251488,9.997911547543481e-06,0.0230881180614233,0.017363248392939568,0.31515696704573926,0.3157547686379403
620,0.016625992953777313,1.0024255971075036e-05,0.022788694128394127,0.017355093732476234,0.31716558448411525,0.3166440008487552
640,0.016631294041872025,9.98857467493508e-06,0.02344260923564434,0.017365150153636932,0.31788159716315567,0.31673471623100335
660,0.01660981774330139,9.992630111810286e-06,0.023457903414964676,0.017344029620289803,0.3182954637352377,0.3177808817941695
680,0.016608556732535362,9.994668289436959e-06,0.022312020882964134,0.017331410199403763,0.3145289866179228,0.31690201583877203
700,0.01659734547138214,1.0001873306464404e-05,0.022565612569451332,0.017323095351457596,0.315596591675654,0.31614034734293817
720,0.0165956299751997,9.988033525587525e-06,0.02221602573990822,0.017317190766334534,0.3162154239043593,0.31544700073264537
740,0.016579320654273033,1.0020643458119594e-05,0.02185884118080139,0.017298942431807518,0.31426018799655137,0.31535740119218825
760,0.016570914536714554,1.0044918781204615e-05,0.021438101306557655,0.017287541180849075,0.31651644565165044,0.315664019184187
780,0.01656270958483219,1.0048519470728934e-05,0.021380677819252014,0.017278943210840225,0.31537821036390956,0.3153849480040371
800,0.016557667404413223,1.000848351395689e-05,0.02163669466972351,0.017274457961320877,0.314687035812065,0.31552723060920834
820,0.01654607430100441,1.0030481462308671e-05,0.021239427849650383,0.01725999265909195,0.3159118212405592,0.31532568913884457
840,0.01654145121574402,1.0031441888713744e-05,0.02124929241836071,0.017255514860153198,0.3155327331572771,0.3153771967366338
860,0.016549183055758476,1.009568222798407e-05,0.02101871371269226,0.01726415380835533,0.31266845245845615,0.31470433561876415
880,0.01652197353541851,1.0056082828668877e-05,0.020622914656996727,0.017231006175279617,0.31506226529739795,0.31442115030437706
900,0.016526853665709496,1.0132542229257524e-05,0.021210232749581337,0.0172455832362175,0.31378064859844745,0.3138371221181005
920,0.016512935981154442,1.010023697745055e-05,0.020782560110092163,0.017225774005055428,0.31333187576942145,0.3140582632217556
940,0.016507111489772797,1.0112195923284162e-05,0.02076430432498455,0.01722036488354206,0.31397858700715003,0.3136970371250063
960,0.01649077609181404,1.0095646757690702e-05,0.020465431734919548,0.01720021292567253,0.3139890895485878,0.31376651744171974
980,0.016479915007948875,1.0057691724796314e-05,0.020122183486819267,0.017184020951390266,0.3146664906945079,0.3142113890834153
1000,0.01647515781223774,1.0087106602441054e-05,0.02011324279010296,0.01718064583837986,0.31346833214722575,0.31404130413010717
1020,0.01646440662443638,1.0038598702521995e-05,0.020097315311431885,0.017167311161756516,0.3149732109010219,0.31436934458091853
1040,0.016455495730042458,1.00460911198752e-05,0.019971612840890884,0.01715751737356186,0.31495764874108134,0.31446639726310965
1060,0.016448428854346275,1.0046531315310858e-05,0.01992073655128479,0.017149964347481728,0.3134676677528769,0.3144661757983267
1080,0.016440896317362785,1.0076831131300423e-05,0.019609684124588966,0.017140835523605347,0.31339949067123235,0.31394160238839686
