epoch,data_loss,objective,ode,capacity_diagnostic,capacity_penalty_used,val_rmse,selection_rmse,best_epoch
20,0.07653175294399261,0.07721127569675446,1.3590454727818724e-05,0.2975119352340698,False,0.9547675883471967,0.9547675883471967,
40,0.05231347307562828,0.053970709443092346,3.314471177873202e-05,0.5711153149604797,False,0.6682178678661586,0.8114927281066776,
60,0.04899246245622635,0.05028127133846283,2.5776182155823335e-05,0.5764017105102539,False,0.5473643290102482,0.7234499284078678,
80,0.04802847281098366,0.04910992830991745,2.1629111870424822e-05,0.487551748752594,False,0.5494526670128107,0.5883449546297391,
100,0.0454220324754715,0.0464148223400116,1.9855771824950352e-05,0.45156005024909973,False,0.5459679304808378,0.5475949755012989,
120,0.04406972602009773,0.04467818886041641,1.2169269211881328e-05,0.3918983042240143,False,0.5434642284810544,0.5462949419915676,
140,0.04372315853834152,0.044222261756658554,9.982073606806807e-06,0.3438486158847809,False,0.5570608534365893,0.5488310041328271,
160,0.04202146828174591,0.04254554212093353,1.0481495337444358e-05,0.3405269384384155,False,0.5638486852347852,0.5547912557174762,
180,0.043069127947092056,0.04367177560925484,1.2052971214870922e-05,0.337990939617157,False,0.5690700667947531,0.5633265351553758,
200,0.04031691700220108,0.04095838963985443,1.2829430488636717e-05,0.37751272320747375,False,0.6037695579528809,0.578896103327473,200.0
220,0.04135971516370773,0.04205287620425224,1.3863235835742671e-05,0.3813318610191345,False,0.5930603065639735,0.5886333104372025,200.0
240,0.039711035788059235,0.0404195636510849,1.41705831993022e-05,0.4326903820037842,False,0.7674931540638209,0.6547743395268917,200.0
260,0.0393732450902462,0.040099263191223145,1.4520379409077577e-05,0.4520702064037323,False,0.8461362388432027,0.735563233156999,200.0
280,0.04032193869352341,0.041093818843364716,1.5437626643688418e-05,0.4099436104297638,False,0.624241580247879,0.7459569910516343,200.0
300,0.039447855204343796,0.04023973271250725,1.5837526007089764e-05,0.4114660322666168,False,0.6142838615477085,0.6948872268795967,200.0
320,0.0357644222676754,0.03655274212360382,1.5766383512527682e-05,0.4350111186504364,False,0.6903029847890139,0.6429428088615338,200.0
340,0.037884414196014404,0.03872036561369896,1.6718993720132858e-05,0.4150295555591583,False,0.6788694576323032,0.6611521013230086,200.0
360,0.03577491641044617,0.036592718213796616,1.635605440242216e-05,0.48143240809440613,False,0.917364511102438,0.7621789845079184,200.0
380,0.033926043659448624,0.03477475792169571,1.6974312529782765e-05,0.4783419668674469,False,0.9278201515078545,0.8413513734141985,200.0
400,0.03335489705204964,0.034216590225696564,1.7233885955647565e-05,0.49085134267807007,False,1.0152029784023762,0.953462547004223,200.0
420,0.032283391803503036,0.03318098932504654,1.7951975678442977e-05,0.49279406666755676,False,0.9478298792541028,0.9636176697214445,200.0
440,0.03269165754318237,0.03365638479590416,1.9294522644486278e-05,0.5335135459899902,False,1.0625913174301387,1.0085413916955392,200.0
460,0.031815189868211746,0.03273202106356621,1.8336619177716784e-05,0.5182880163192749,False,0.9897264137268067,1.0000492034703494,200.0
480,0.03182271122932434,0.032769035547971725,1.8926470147562213e-05,0.5513973236083984,False,1.0982232671380043,1.0501803327649832,200.0
500,0.030758511275053024,0.03172583505511284,1.9346482076798566e-05,0.5563542246818542,False,1.0874885473400355,1.0584794094016154,200.0
520,0.029978707432746887,0.03096597269177437,1.9745306417462416e-05,0.5468130707740784,False,1.075815788835287,1.087175867771109,200.0
540,0.03036314994096756,0.03137622028589249,2.0261444660718553e-05,0.5772307515144348,False,1.0892523777484895,1.0841855713079374,200.0
560,0.03033556416630745,0.031348951160907745,2.0267720174160786e-05,0.564781904220581,False,1.0682248436659574,1.0777643367499112,200.0
580,0.03038136102259159,0.03138567507266998,2.008630326599814e-05,0.5559825897216797,False,1.0006835528612137,1.0527202580918869,200.0
600,0.02909376658499241,0.030168836936354637,2.150142245227471e-05,0.6001960039138794,False,1.1863704324662685,1.0850929429978133,200.0
620,0.029709486290812492,0.030762644484639168,2.106314968841616e-05,0.5967772006988525,False,1.2256268372535706,1.1375602741936843,200.0
640,0.029210738837718964,0.03027309849858284,2.124719503626693e-05,0.6052019596099854,False,1.1861490146964788,1.1993820948054394,200.0
660,0.028732482343912125,0.02987978421151638,2.2946031094761565e-05,0.6363371014595032,False,1.3042956050634384,1.2386904856711627,200.0
680,0.02840455435216427,0.029582714661955833,2.356319600949064e-05,0.6418763399124146,False,1.2829559398889543,1.2578001865496238,200.0
700,0.028733311221003532,0.02980990894138813,2.153195055143442e-05,0.5993061661720276,False,1.1363086258918047,1.2411867236147325,200.0
720,0.027775026857852936,0.02889660745859146,2.2431599063565955e-05,0.6205245852470398,False,1.1549384809583425,1.1914010155797006,200.0
740,0.027678273618221283,0.02885887771844864,2.3612064978806302e-05,0.6517705321311951,False,1.3265349632501602,1.2059273567001025,200.0
760,0.02764751762151718,0.02885354310274124,2.4120501620927826e-05,0.6710196137428284,False,1.317324556350708,1.2662660001864035,200.0
780,0.027229443192481995,0.028438564389944077,2.4182418201235123e-05,0.6598949432373047,False,1.2742277157902717,1.3060290784637134,200.0
