protocol,model,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,individual_rmse_mean,individual_rmse_sd,n_seeds
replicate,phytoode,train,0.2073833889993509,0.033575208775243386,3.5743935122219312,0.5786915191076482,0.7536073789166476,0.008340339845998159,3
replicate,phytoode,val,0.31256993907292546,0.007022078806634458,5.351422118906704,0.12022303858773348,0.7221469410836329,0.0025166763208901064,3
replicate,phytoode,test,0.34371659668207005,0.008222078364503595,5.931500553369979,0.14188800552454872,0.783913795788663,0.004672192621841603,3
replicate,latent_ode,train,0.2123274568406525,0.02373859222808805,3.6596078782384343,0.4091507543529704,0.7542160187169379,0.0030548126332460186,3
replicate,latent_ode,val,0.3112868247149502,0.006074039163975409,5.329454278439636,0.10399191819153121,0.7228226222286006,0.005256817684776975,3
replicate,latent_ode,test,0.3368364883355606,0.00293958292358064,5.812770859027306,0.05072823921279367,0.7803698228201005,0.001981161596006716,3
replicate,light_pinn,train,0.20449296925925656,0.01896197389290813,3.524575165552788,0.3268224942642084,0.7549716609680052,0.005218840266318319,3
replicate,light_pinn,val,0.31820722473385116,0.0030558347135276613,5.447936503066454,0.05231808767726501,0.7254007433859545,0.0012081746718577533,3
replicate,light_pinn,test,0.34682145193145497,0.014984279973042922,5.985080889052447,0.25858298903781546,0.7837446606298023,0.006698069396618433,3
replicate,lstm,train,0.14822465755268527,0.01011835934463771,2.5547526099561133,0.17439679315837794,0.7414991355378405,0.0015482553280241555,3
replicate,lstm,val,0.3192730375615821,0.010143506258301817,5.46618398507912,0.17366412110820537,0.7268506396287954,0.005120019861732043,3
replicate,lstm,test,0.351958412753123,0.004131321669028992,6.073729171534272,0.07129401664785308,0.7870109620034699,0.001170531570757485,3
replicate,rf,train,0.29025145748743286,0.0076683428014258604,5.002680935835642,0.1321690945989701,0.7859370711659489,0.0037082416251052017,3
replicate,rf,val,0.3914333451616095,0.004165240278062954,6.701620340037756,0.07131190869057574,0.7744711585149057,0.0038126962229191328,3
replicate,rf,test,0.4005906862595754,0.010942015779770421,6.91297394469832,0.18882583290769805,0.8145651166256034,0.004647587755775588,3
replicate,light_logistic,train,0.36093950517188933,0.0,6.221037431281603,0.0,0.8222020042789151,0.0,1
replicate,light_logistic,val,0.4464864998929633,0.0,7.644169936517745,0.0,0.8049586478470798,0.0,1
replicate,light_logistic,test,0.46524102031864756,0.0,8.028641607966977,0.0,0.8476575395238997,0.0,1
replicate,logistic,train,0.33757206200280115,0.0,5.818283682951909,0.0,0.8085954929447535,0.0,1
replicate,logistic,val,0.40247765061584895,0.0,6.890706791124757,0.0,0.7734597204606195,0.0,1
replicate,logistic,test,0.4385021741362471,0.0,7.567210642868466,0.0,0.8305057484063132,0.0,1
replicate,latent_ode_matched,train,0.17290933432527447,0.019061608772268552,2.980209773777052,0.32853976905702237,0.7458636273515208,0.004034846650088997,3
replicate,latent_ode_matched,val,0.31371563258978996,0.009017670987852078,5.371037215757737,0.15438901171540997,0.7205563647095409,0.002639164249894126,3
replicate,latent_ode_matched,test,0.3347028155079444,0.0020102195008451763,5.7759501710538865,0.03469025993146154,0.7799845171699253,0.0007346830260403846,3
time_holdout,phytoode,train,0.14057009962707678,0.01545134487781115,2.726420423830017,0.2996857963554515,0.6951486655951177,0.0030979522901361215,3
time_holdout,phytoode,val,0.31510228257016876,0.010517979242269876,6.038621677526133,0.2015666054148532,0.6640428222234461,0.0032640175240284492,3
time_holdout,phytoode,test,0.305310042114532,0.03880359171936162,4.133138513214604,0.5253041081635457,0.9248174522661593,0.011793002613413579,3
time_holdout,latent_ode,train,0.14885963788629367,0.025305791527387055,2.8871997536733303,0.49081722958502405,0.6964368557591691,0.0049451263958270675,3
time_holdout,latent_ode,val,0.30828265712601477,0.003082526965339986,5.907930342307048,0.0590735617737577,0.6647060907297031,0.007408308795860503,3
time_holdout,latent_ode,test,0.3103161950690101,0.017680783812003997,4.2009093714408605,0.23935383196403776,0.930933803202421,0.003751073226610529,3
time_holdout,light_pinn,train,0.14006601411460118,0.03573431202242304,2.7166434581721965,0.6930830837277308,0.6951900953487372,0.007726997748108838,3
time_holdout,light_pinn,val,0.3033890780659437,0.0029977194867753954,5.814149769371171,0.057448310841586046,0.6626100741356136,0.002358167364492924,3
time_holdout,light_pinn,test,0.3083222604894586,0.010945350782182393,4.173916457134808,0.14817282309211083,0.9335517606552489,0.00707192256396665,3
time_holdout,lstm,train,0.044225136555733104,0.026817584730748606,0.8577664515576445,0.5201391399855088,0.680903354992365,0.002000038184883081,3
time_holdout,lstm,val,0.31398441472587507,0.009200262628912662,6.017198852714771,0.17631387782001842,0.6633478499201235,0.005745674940534015,3
