protocol,seed,coarse_step_hours,fine_step_hours,max_absolute_difference_mm,rms_difference_mm
replicate,1,3,1.5,1.9094943581876578e-06,4.660203103412641e-07
replicate,2,3,1.5,2.3868678908911534e-06,8.362898711311573e-07
replicate,3,3,1.5,1.1934339454455767e-06,4.147247523178521e-07
time_holdout,1,3,1.5,3.8189887163753156e-06,1.1611076615736238e-06
time_holdout,2,3,1.5,3.8189887163753156e-06,8.905288950700196e-07
time_holdout,3,3,1.5,3.8189887163753156e-06,9.06664297417592e-07
