protocol,model,seed,split,genotype,condition,rmse
replicate,latent_ode,1,train,Col-0,12L12D,0.31380876644892214
replicate,latent_ode,1,train,Col-0,cR,0.20083637760883746
replicate,latent_ode,1,train,hy5,12L12D,0.18050652295835762
replicate,latent_ode,1,train,hy5,cR,0.18241154065404952
replicate,latent_ode,1,train,MLB,12L12D,0.16821282976541593
replicate,latent_ode,1,train,MLB,cR,0.2050090352444309
replicate,latent_ode,1,train,EMS57,12L12D,0.22782932127315678
replicate,latent_ode,1,train,EMS57,cR,0.47236857567148494
replicate,latent_ode,1,train,phyAB,12L12D,0.13277073420419339
replicate,latent_ode,1,train,phyAB,cR,0.24943307533786815
replicate,latent_ode,1,val,Col-0,12L12D,0.21817376395206145
replicate,latent_ode,1,val,Col-0,cR,0.2328658790138863
replicate,latent_ode,1,val,hy5,12L12D,0.4353094143071279
replicate,latent_ode,1,val,hy5,cR,0.47309590338099955
replicate,latent_ode,1,val,MLB,12L12D,0.2117780470265144
replicate,latent_ode,1,val,MLB,cR,0.31952705637592244
replicate,latent_ode,1,val,EMS57,12L12D,0.34642964526761777
replicate,latent_ode,1,val,EMS57,cR,0.3021529108534758
replicate,latent_ode,1,val,phyAB,12L12D,0.39350431246454526
replicate,latent_ode,1,val,phyAB,cR,0.21200019642234483
replicate,latent_ode,1,test,Col-0,12L12D,0.459689979445751
replicate,latent_ode,1,test,Col-0,cR,0.22524415370423886
replicate,latent_ode,1,test,hy5,12L12D,0.21942923109286644
replicate,latent_ode,1,test,hy5,cR,0.4291820537896424
replicate,latent_ode,1,test,MLB,12L12D,0.22594470733924113
replicate,latent_ode,1,test,MLB,cR,0.25636357045254177
replicate,latent_ode,1,test,EMS57,12L12D,0.6602372568849979
replicate,latent_ode,1,test,EMS57,cR,0.43517383125770986
replicate,latent_ode,1,test,phyAB,12L12D,0.24616104185489157
replicate,latent_ode,1,test,phyAB,cR,0.23816009994293552
replicate,latent_ode,2,train,Col-0,12L12D,0.3436708672868215
replicate,latent_ode,2,train,Col-0,cR,0.1405680778049254
replicate,latent_ode,2,train,hy5,12L12D,0.13231635211045792
replicate,latent_ode,2,train,hy5,cR,0.18071390916439115
replicate,latent_ode,2,train,MLB,12L12D,0.11787277200836471
replicate,latent_ode,2,train,MLB,cR,0.18086787468626456
replicate,latent_ode,2,train,EMS57,12L12D,0.05303161411841091
replicate,latent_ode,2,train,EMS57,cR,0.3425973000533681
replicate,latent_ode,2,train,phyAB,12L12D,0.12302610108259796
replicate,latent_ode,2,train,phyAB,cR,0.25099474653139503
replicate,latent_ode,2,val,Col-0,12L12D,0.1811662275066715
replicate,latent_ode,2,val,Col-0,cR,0.17914731682718454
replicate,latent_ode,2,val,hy5,12L12D,0.4020288160294463
replicate,latent_ode,2,val,hy5,cR,0.4384245281226489
replicate,latent_ode,2,val,MLB,12L12D,0.212468447024248
replicate,latent_ode,2,val,MLB,cR,0.22235838435718766
replicate,latent_ode,2,val,EMS57,12L12D,0.3729871219425555
replicate,latent_ode,2,val,EMS57,cR,0.46204120816013045
replicate,latent_ode,2,val,phyAB,12L12D,0.39016946264413693
replicate,latent_ode,2,val,phyAB,cR,0.18202855232379472
replicate,latent_ode,2,test,Col-0,12L12D,0.5158710705915482
replicate,latent_ode,2,test,Col-0,cR,0.2594031230938931
replicate,latent_ode,2,test,hy5,12L12D,0.22249989238471546
replicate,latent_ode,2,test,hy5,cR,0.35635689756880823
replicate,latent_ode,2,test,MLB,12L12D,0.20624571072177578
replicate,latent_ode,2,test,MLB,cR,0.24717925597912307
replicate,latent_ode,2,test,EMS57,12L12D,0.6442869659196069
replicate,latent_ode,2,test,EMS57,cR,0.35993374888276586
replicate,latent_ode,2,test,phyAB,12L12D,0.26809053852681114
replicate,latent_ode,2,test,phyAB,cR,0.2573265231267705
replicate,latent_ode,3,train,Col-0,12L12D,0.26921925391296014
replicate,latent_ode,3,train,Col-0,cR,0.19743591703632618
replicate,latent_ode,3,train,hy5,12L12D,0.1955014918886371
replicate,latent_ode,3,train,hy5,cR,0.17147009995727788
replicate,latent_ode,3,train,MLB,12L12D,0.16639620567800492
replicate,latent_ode,3,train,MLB,cR,0.2293692779721153
replicate,latent_ode,3,train,EMS57,12L12D,0.17003609633072886
replicate,latent_ode,3,train,EMS57,cR,0.38890165372788194
replicate,latent_ode,3,train,phyAB,12L12D,0.09063072085905718
replicate,latent_ode,3,train,phyAB,cR,0.2920165938428714
replicate,latent_ode,3,val,Col-0,12L12D,0.1513074772665616
replicate,latent_ode,3,val,Col-0,cR,0.2493448970381644
