seed,condition,rmse_cm
1,nAT,2.1073608936118133
1,hAT,3.4560451096501166
2,nAT,2.0806456870192545
2,hAT,3.5266264401097183
3,nAT,2.188750889750314
3,hAT,3.4385791176001836
