observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column
12L12D:R5,12L12D,hy5,36,6.671,R5,5,18
12L12D:R6,12L12D,hy5,36,6.73,R6,6,18
12L12D:R7,12L12D,hy5,36,8.185,R7,7,18
12L12D:R8,12L12D,hy5,36,7.364,R8,8,18
12L12D:R9,12L12D,hy5,36,6.498,R9,9,18
12L12D:R10,12L12D,hy5,36,7.862,R10,10,18
12L12D:R11,12L12D,hy5,36,8.466,R11,11,18
12L12D:R12,12L12D,hy5,36,7.577,R12,12,18
12L12D:R13,12L12D,hy5,36,5.341,R13,13,18
12L12D:R14,12L12D,hy5,36,6.201,R14,14,18
12L12D:R15,12L12D,hy5,36,7.152,R15,15,18
12L12D:R16,12L12D,hy5,36,5.498,R16,16,18
12L12D:R17,12L12D,hy5,36,6.474,R17,17,18
12L12D:R18,12L12D,hy5,36,6.256,R18,18,18
12L12D:R19,12L12D,hy5,36,8.05,R19,19,18
12L12D:R20,12L12D,hy5,36,6.455,R20,20,18
12L12D:R21,12L12D,hy5,36,8.546,R21,21,18
12L12D:R22,12L12D,hy5,36,7.407,R22,22,18
12L12D:R23,12L12D,hy5,36,6.839,R23,23,18
12L12D:R24,12L12D,hy5,36,9.602,R24,24,18
12L12D:R25,12L12D,hy5,36,7.015,R25,25,18
12L12D:R26,12L12D,hy5,36,8.023,R26,26,18
12L12D:R27,12L12D,hy5,36,8.396,R27,27,18
12L12D:R28,12L12D,hy5,36,8.254,R28,28,18
12L12D:S3,12L12D,MLB,36,2.235,S3,3,19
12L12D:S4,12L12D,MLB,36,1.954,S4,4,19
12L12D:S5,12L12D,MLB,36,1.916,S5,5,19
12L12D:S6,12L12D,MLB,36,1.641,S6,6,19
12L12D:S7,12L12D,MLB,36,1.571,S7,7,19
12L12D:S8,12L12D,MLB,36,1.658,S8,8,19
12L12D:S9,12L12D,MLB,36,1.637,S9,9,19
12L12D:S10,12L12D,MLB,36,1.831,S10,10,19
12L12D:S11,12L12D,MLB,36,1.725,S11,11,19
12L12D:S12,12L12D,MLB,36,1.689,S12,12,19
12L12D:S13,12L12D,MLB,36,1.72,S13,13,19
12L12D:S14,12L12D,MLB,36,1.721,S14,14,19
12L12D:S15,12L12D,MLB,36,1.643,S15,15,19
12L12D:S16,12L12D,MLB,36,1.802,S16,16,19
12L12D:S17,12L12D,MLB,36,1.875,S17,17,19
12L12D:S18,12L12D,MLB,36,1.825,S18,18,19
12L12D:S19,12L12D,MLB,36,1.64,S19,19,19
12L12D:S20,12L12D,MLB,36,1.37,S20,20,19
12L12D:S21,12L12D,MLB,36,1.708,S21,21,19
12L12D:S22,12L12D,MLB,36,1.641,S22,22,19
12L12D:S23,12L12D,MLB,36,3.593,S23,23,19
12L12D:S24,12L12D,MLB,36,3.417,S24,24,19
12L12D:S25,12L12D,MLB,36,1.838,S25,25,19
12L12D:S26,12L12D,MLB,36,3.077,S26,26,19
12L12D:S27,12L12D,MLB,36,1.497,S27,27,19
12L12D:S28,12L12D,MLB,36,1.588,S28,28,19
12L12D:S29,12L12D,MLB,36,1.561,S29,29,19
12L12D:S30,12L12D,MLB,36,1.434,S30,30,19
12L12D:S31,12L12D,MLB,36,1.587,S31,31,19
12L12D:S32,12L12D,MLB,36,1.719,S32,32,19
12L12D:S33,12L12D,MLB,36,1.698,S33,33,19
12L12D:S34,12L12D,MLB,36,1.572,S34,34,19
12L12D:T3,12L12D,EMS57,36,6.42,T3,3,20
12L12D:T4,12L12D,EMS57,36,6.269,T4,4,20
12L12D:T6,12L12D,EMS57,36,6.146,T6,6,20
12L12D:T7,12L12D,EMS57,36,6.524,T7,7,20
12L12D:T8,12L12D,EMS57,36,7.956,T8,8,20
12L12D:T9,12L12D,EMS57,36,7.11,T9,9,20
12L12D:T10,12L12D,EMS57,36,6.528,T10,10,20
12L12D:T11,12L12D,EMS57,36,6.598,T11,11,20
12L12D:T12,12L12D,EMS57,36,7.367,T12,12,20
12L12D:T13,12L12D,EMS57,36,7.186,T13,13,20
12L12D:T15,12L12D,EMS57,36,7.283,T15,15,20
12L12D:T16,12L12D,EMS57,36,8.936,T16,16,20
12L12D:T17,12L12D,EMS57,36,6.569,T17,17,20
12L12D:T18,12L12D,EMS57,36,8.899,T18,18,20
12L12D:U3,12L12D,phyAB,36,7.813,U3,3,21
12L12D:U4,12L12D,phyAB,36,8.245,U4,4,21
12L12D:U5,12L12D,phyAB,36,8.521,U5,5,21
12L12D:U6,12L12D,phyAB,36,7.755,U6,6,21
12L12D:U7,12L12D,phyAB,36,7.659,U7,7,21
12L12D:U8,12L12D,phyAB,36,8.639,U8,8,21
12L12D:U9,12L12D,phyAB,36,8.636,U9,9,21
12L12D:U10,12L12D,phyAB,36,8.288,U10,10,21
12L12D:U11,12L12D,phyAB,36,7.525,U11,11,21
12L12D:U12,12L12D,phyAB,36,8.24,U12,12,21
12L12D:U13,12L12D,phyAB,36,8.132,U13,13,21
12L12D:U14,12L12D,phyAB,36,7.496,U14,14,21
12L12D:U15,12L12D,phyAB,36,6.984,U15,15,21
12L12D:U16,12L12D,phyAB,36,6.89,U16,16,21
12L12D:U17,12L12D,phyAB,36,7.78,U17,17,21
12L12D:U18,12L12D,phyAB,36,8.54,U18,18,21
12L12D:U19,12L12D,phyAB,36,7.921,U19,19,21
12L12D:U20,12L12D,phyAB,36,8.595,U20,20,21
12L12D:U21,12L12D,phyAB,36,7.972,U21,21,21
12L12D:U22,12L12D,phyAB,36,6.774,U22,22,21
12L12D:U23,12L12D,phyAB,36,8.638,U23,23,21
12L12D:U24,12L12D,phyAB,36,8.552,U24,24,21
12L12D:U25,12L12D,phyAB,36,8.805,U25,25,21
12L12D:U26,12L12D,phyAB,36,8.367,U26,26,21
12L12D:U27,12L12D,phyAB,36,8.53,U27,27,21
12L12D:U28,12L12D,phyAB,36,8.227,U28,28,21
12L12D:U29,12L12D,phyAB,36,8.852,U29,29,21
12L12D:U30,12L12D,phyAB,36,9.031,U30,30,21
12L12D:U31,12L12D,phyAB,36,8.252,U31,31,21
12L12D:U32,12L12D,phyAB,36,8.704,U32,32,21
12L12D:U33,12L12D,phyAB,36,8.165,U33,33,21
12L12D:V4,12L12D,Col-0,48,2.353,V4,4,22
12L12D:V5,12L12D,Col-0,48,3.41,V5,5,22
12L12D:V6,12L12D,Col-0,48,2.583,V6,6,22
12L12D:V7,12L12D,Col-0,48,2.63,V7,7,22
12L12D:V8,12L12D,Col-0,48,2.078,V8,8,22
12L12D:V9,12L12D,Col-0,48,2.364,V9,9,22
12L12D:V10,12L12D,Col-0,48,2.517,V10,10,22
12L12D:V11,12L12D,Col-0,48,2.358,V11,11,22
12L12D:V12,12L12D,Col-0,48,2.963,V12,12,22
12L12D:V13,12L12D,Col-0,48,3.103,V13,13,22
12L12D:V14,12L12D,Col-0,48,2.854,V14,14,22
12L12D:V15,12L12D,Col-0,48,2.396,V15,15,22
12L12D:V16,12L12D,Col-0,48,3.204,V16,16,22
12L12D:V17,12L12D,Col-0,48,2.559,V17,17,22
12L12D:V18,12L12D,Col-0,48,2.99,V18,18,22
12L12D:V19,12L12D,Col-0,48,2.739,V19,19,22
12L12D:V21,12L12D,Col-0,48,2.786,V21,21,22
12L12D:V22,12L12D,Col-0,48,3.459,V22,22,22
12L12D:V23,12L12D,Col-0,48,2.67,V23,23,22
12L12D:V24,12L12D,Col-0,48,2.224,V24,24,22
12L12D:V25,12L12D,Col-0,48,3.22,V25,25,22
12L12D:V26,12L12D,Col-0,48,2.83,V26,26,22
12L12D:V28,12L12D,Col-0,48,2.668,V28,28,22
12L12D:V29,12L12D,Col-0,48,2.888,V29,29,22
12L12D:V30,12L12D,Col-0,48,3.232,V30,30,22
12L12D:V31,12L12D,Col-0,48,2.581,V31,31,22
12L12D:V32,12L12D,Col-0,48,2.462,V32,32,22
12L12D:V33,12L12D,Col-0,48,2.434,V33,33,22
12L12D:V34,12L12D,Col-0,48,2.431,V34,34,22
12L12D:V35,12L12D,Col-0,48,2.739,V35,35,22
12L12D:V37,12L12D,Col-0,48,1.899,V37,37,22
12L12D:W3,12L12D,hy5,48,7.285,W3,3,23
12L12D:W4,12L12D,hy5,48,8.422,W4,4,23
12L12D:W5,12L12D,hy5,48,9.856,W5,5,23
12L12D:W6,12L12D,hy5,48,6.874,W6,6,23
12L12D:W7,12L12D,hy5,48,8.548,W7,7,23
12L12D:W8,12L12D,hy5,48,7.861,W8,8,23
12L12D:W9,12L12D,hy5,48,7.039,W9,9,23
12L12D:W10,12L12D,hy5,48,7.964,W10,10,23
12L12D:W11,12L12D,hy5,48,7.536,W11,11,23
12L12D:W12,12L12D,hy5,48,7.441,W12,12,23
12L12D:W13,12L12D,hy5,48,7.227,W13,13,23
12L12D:W14,12L12D,hy5,48,8.196,W14,14,23
12L12D:W16,12L12D,hy5,48,8.998,W16,16,23
12L12D:W17,12L12D,hy5,48,7.14,W17,17,23
12L12D:W19,12L12D,hy5,48,7.807,W19,19,23
12L12D:W20,12L12D,hy5,48,10.561,W20,20,23
12L12D:W21,12L12D,hy5,48,7.819,W21,21,23
12L12D:W22,12L12D,hy5,48,8.591,W22,22,23
12L12D:W23,12L12D,hy5,48,7.255,W23,23,23
12L12D:W24,12L12D,hy5,48,10.625,W24,24,23
12L12D:W25,12L12D,hy5,48,8.325,W25,25,23
12L12D:W27,12L12D,hy5,48,7.409,W27,27,23
12L12D:W28,12L12D,hy5,48,7.386,W28,28,23
12L12D:W29,12L12D,hy5,48,7.617,W29,29,23
12L12D:X3,12L12D,MLB,48,1.985,X3,3,24
12L12D:X4,12L12D,MLB,48,1.726,X4,4,24
12L12D:X5,12L12D,MLB,48,3.059,X5,5,24
12L12D:X6,12L12D,MLB,48,1.891,X6,6,24
12L12D:X7,12L12D,MLB,48,2.209,X7,7,24
12L12D:X8,12L12D,MLB,48,1.718,X8,8,24
12L12D:X9,12L12D,MLB,48,1.498,X9,9,24
12L12D:X10,12L12D,MLB,48,1.88,X10,10,24
12L12D:X11,12L12D,MLB,48,1.713,X11,11,24
12L12D:X12,12L12D,MLB,48,1.858,X12,12,24
12L12D:X13,12L12D,MLB,48,1.669,X13,13,24
12L12D:X14,12L12D,MLB,48,1.612,X14,14,24
12L12D:X15,12L12D,MLB,48,1.81,X15,15,24
12L12D:X16,12L12D,MLB,48,1.562,X16,16,24
12L12D:X17,12L12D,MLB,48,2.047,X17,17,24
12L12D:X18,12L12D,MLB,48,1.901,X18,18,24
12L12D:X19,12L12D,MLB,48,1.497,X19,19,24
12L12D:X20,12L12D,MLB,48,1.792,X20,20,24
12L12D:X21,12L12D,MLB,48,1.535,X21,21,24
12L12D:X22,12L12D,MLB,48,1.72,X22,22,24
12L12D:X23,12L12D,MLB,48,1.691,X23,23,24
12L12D:X24,12L12D,MLB,48,1.425,X24,24,24
12L12D:X25,12L12D,MLB,48,1.325,X25,25,24
12L12D:X26,12L12D,MLB,48,1.416,X26,26,24
12L12D:X27,12L12D,MLB,48,1.565,X27,27,24
12L12D:X28,12L12D,MLB,48,1.87,X28,28,24
12L12D:X29,12L12D,MLB,48,2.526,X29,29,24
12L12D:X30,12L12D,MLB,48,2.815,X30,30,24
12L12D:X31,12L12D,MLB,48,2.024,X31,31,24
12L12D:Y3,12L12D,EMS57,48,9.559,Y3,3,25
12L12D:Y4,12L12D,EMS57,48,7.527,Y4,4,25
12L12D:Y5,12L12D,EMS57,48,7.906,Y5,5,25
12L12D:Y6,12L12D,EMS57,48,8.962,Y6,6,25
12L12D:Y8,12L12D,EMS57,48,7.326,Y8,8,25
12L12D:Y9,12L12D,EMS57,48,7.809,Y9,9,25
12L12D:Y10,12L12D,EMS57,48,8.903,Y10,10,25
12L12D:Y11,12L12D,EMS57,48,9.94,Y11,11,25
12L12D:Y12,12L12D,EMS57,48,7.424,Y12,12,25
12L12D:Y13,12L12D,EMS57,48,6.421,Y13,13,25
12L12D:Y14,12L12D,EMS57,48,8.097,Y14,14,25
12L12D:Y15,12L12D,EMS57,48,6.334,Y15,15,25
12L12D:Z3,12L12D,phyAB,48,7.774,Z3,3,26
12L12D:Z4,12L12D,phyAB,48,9.945,Z4,4,26
12L12D:Z5,12L12D,phyAB,48,9.454,Z5,5,26
12L12D:Z6,12L12D,phyAB,48,9.385,Z6,6,26
12L12D:Z7,12L12D,phyAB,48,8.548,Z7,7,26
12L12D:Z8,12L12D,phyAB,48,9.428,Z8,8,26
12L12D:Z9,12L12D,phyAB,48,8.939,Z9,9,26
12L12D:Z10,12L12D,phyAB,48,9.961,Z10,10,26
12L12D:Z11,12L12D,phyAB,48,9.685,Z11,11,26
12L12D:Z12,12L12D,phyAB,48,9.69,Z12,12,26
12L12D:Z13,12L12D,phyAB,48,10.255,Z13,13,26
12L12D:Z14,12L12D,phyAB,48,9.126,Z14,14,26
12L12D:Z15,12L12D,phyAB,48,8.388,Z15,15,26
12L12D:Z16,12L12D,phyAB,48,9.538,Z16,16,26
12L12D:Z17,12L12D,phyAB,48,10.147,Z17,17,26
12L12D:Z18,12L12D,phyAB,48,9.107,Z18,18,26
12L12D:Z19,12L12D,phyAB,48,10.434,Z19,19,26
12L12D:Z20,12L12D,phyAB,48,8.97,Z20,20,26
12L12D:Z21,12L12D,phyAB,48,9.272,Z21,21,26
12L12D:Z22,12L12D,phyAB,48,9.619,Z22,22,26
12L12D:Z23,12L12D,phyAB,48,7.827,Z23,23,26
12L12D:Z24,12L12D,phyAB,48,9.452,Z24,24,26
12L12D:Z25,12L12D,phyAB,48,9.183,Z25,25,26
12L12D:Z26,12L12D,phyAB,48,9.254,Z26,26,26
12L12D:Z27,12L12D,phyAB,48,8.039,Z27,27,26
12L12D:Z28,12L12D,phyAB,48,7.637,Z28,28,26
12L12D:Z29,12L12D,phyAB,48,8.734,Z29,29,26
12L12D:Z30,12L12D,phyAB,48,9.078,Z30,30,26
12L12D:Z31,12L12D,phyAB,48,9.975,Z31,31,26
12L12D:Z32,12L12D,phyAB,48,9.116,Z32,32,26
12L12D:Z33,12L12D,phyAB,48,8.567,Z33,33,26
12L12D:Z34,12L12D,phyAB,48,8.55,Z34,34,26
12L12D:Z35,12L12D,phyAB,48,9.122,Z35,35,26
12L12D:AA3,12L12D,Col-0,60,3.884,AA3,3,27
12L12D:AA4,12L12D,Col-0,60,3.719,AA4,4,27
12L12D:AA5,12L12D,Col-0,60,3.577,AA5,5,27
12L12D:AA6,12L12D,Col-0,60,3.201,AA6,6,27
12L12D:AA7,12L12D,Col-0,60,4.196,AA7,7,27
12L12D:AA8,12L12D,Col-0,60,3.363,AA8,8,27
12L12D:AA9,12L12D,Col-0,60,4.723,AA9,9,27
12L12D:AA10,12L12D,Col-0,60,4.952,AA10,10,27
12L12D:AA11,12L12D,Col-0,60,4.269,AA11,11,27
12L12D:AA12,12L12D,Col-0,60,6.377,AA12,12,27
12L12D:AA13,12L12D,Col-0,60,4.753,AA13,13,27
12L12D:AA14,12L12D,Col-0,60,4.464,AA14,14,27
12L12D:AA15,12L12D,Col-0,60,4.8,AA15,15,27
12L12D:AA16,12L12D,Col-0,60,5.375,AA16,16,27
12L12D:AA17,12L12D,Col-0,60,3.889,AA17,17,27
12L12D:AA18,12L12D,Col-0,60,5.987,AA18,18,27
12L12D:AA19,12L12D,Col-0,60,4.522,AA19,19,27
12L12D:AA20,12L12D,Col-0,60,4.72,AA20,20,27
12L12D:AA21,12L12D,Col-0,60,6.597,AA21,21,27
12L12D:AA22,12L12D,Col-0,60,4.667,AA22,22,27
12L12D:AA23,12L12D,Col-0,60,4.132,AA23,23,27
12L12D:AA24,12L12D,Col-0,60,3.821,AA24,24,27
12L12D:AA25,12L12D,Col-0,60,3.421,AA25,25,27
12L12D:AA26,12L12D,Col-0,60,3.856,AA26,26,27
12L12D:AA27,12L12D,Col-0,60,5.36,AA27,27,27
12L12D:AB3,12L12D,hy5,60,8.456,AB3,3,28
12L12D:AB4,12L12D,hy5,60,11.131,AB4,4,28
12L12D:AB5,12L12D,hy5,60,10.874,AB5,5,28
12L12D:AB6,12L12D,hy5,60,8.175,AB6,6,28
12L12D:AB7,12L12D,hy5,60,7.76,AB7,7,28
12L12D:AB8,12L12D,hy5,60,10.231,AB8,8,28
12L12D:AB9,12L12D,hy5,60,12.008,AB9,9,28
12L12D:AB10,12L12D,hy5,60,9.657,AB10,10,28
12L12D:AB11,12L12D,hy5,60,10.288,AB11,11,28
12L12D:AB12,12L12D,hy5,60,10.033,AB12,12,28
12L12D:AB13,12L12D,hy5,60,7.731,AB13,13,28
12L12D:AB14,12L12D,hy5,60,9.949,AB14,14,28
12L12D:AB15,12L12D,hy5,60,8.109,AB15,15,28
12L12D:AB16,12L12D,hy5,60,8.433,AB16,16,28
12L12D:AB17,12L12D,hy5,60,9.595,AB17,17,28
12L12D:AB18,12L12D,hy5,60,10.081,AB18,18,28
12L12D:AB19,12L12D,hy5,60,10.566,AB19,19,28
12L12D:AB20,12L12D,hy5,60,8.206,AB20,20,28
12L12D:AB21,12L12D,hy5,60,11.099,AB21,21,28
12L12D:AB22,12L12D,hy5,60,9.154,AB22,22,28
12L12D:AB23,12L12D,hy5,60,9.165,AB23,23,28
12L12D:AB24,12L12D,hy5,60,8.868,AB24,24,28
12L12D:AB25,12L12D,hy5,60,10.144,AB25,25,28
12L12D:AB26,12L12D,hy5,60,9.495,AB26,26,28
12L12D:AB27,12L12D,hy5,60,9.554,AB27,27,28
12L12D:AB28,12L12D,hy5,60,11.223,AB28,28,28
12L12D:AB29,12L12D,hy5,60,8.836,AB29,29,28
12L12D:AB30,12L12D,hy5,60,11.597,AB30,30,28
12L12D:AC3,12L12D,MLB,60,1.656,AC3,3,29
12L12D:AC4,12L12D,MLB,60,4.293,AC4,4,29
12L12D:AC5,12L12D,MLB,60,2.308,AC5,5,29
12L12D:AC6,12L12D,MLB,60,1.858,AC6,6,29
12L12D:AC7,12L12D,MLB,60,2.443,AC7,7,29
12L12D:AC8,12L12D,MLB,60,2.696,AC8,8,29
12L12D:AC9,12L12D,MLB,60,2.907,AC9,9,29
12L12D:AC10,12L12D,MLB,60,4.134,AC10,10,29
12L12D:AC11,12L12D,MLB,60,4.421,AC11,11,29
12L12D:AC12,12L12D,MLB,60,4.133,AC12,12,29
12L12D:AC13,12L12D,MLB,60,2.429,AC13,13,29
12L12D:AC14,12L12D,MLB,60,1.769,AC14,14,29
12L12D:AC15,12L12D,MLB,60,1.965,AC15,15,29
12L12D:AC16,12L12D,MLB,60,2.025,AC16,16,29
12L12D:AC17,12L12D,MLB,60,2.792,AC17,17,29
12L12D:AC18,12L12D,MLB,60,1.808,AC18,18,29
12L12D:AC19,12L12D,MLB,60,2.207,AC19,19,29
12L12D:AC20,12L12D,MLB,60,2.489,AC20,20,29
12L12D:AC21,12L12D,MLB,60,2.103,AC21,21,29
12L12D:AC22,12L12D,MLB,60,2.491,AC22,22,29
12L12D:AC23,12L12D,MLB,60,2.16,AC23,23,29
12L12D:AC24,12L12D,MLB,60,3.122,AC24,24,29
12L12D:AC25,12L12D,MLB,60,2.033,AC25,25,29
12L12D:AC26,12L12D,MLB,60,1.693,AC26,26,29
12L12D:AC27,12L12D,MLB,60,1.67,AC27,27,29
12L12D:AC28,12L12D,MLB,60,2.159,AC28,28,29
12L12D:AC29,12L12D,MLB,60,3.102,AC29,29,29
12L12D:AC30,12L12D,MLB,60,2.575,AC30,30,29
12L12D:AC31,12L12D,MLB,60,1.772,AC31,31,29
12L12D:AC32,12L12D,MLB,60,2.202,AC32,32,29
12L12D:AC33,12L12D,MLB,60,2.289,AC33,33,29
12L12D:AC34,12L12D,MLB,60,2.594,AC34,34,29
12L12D:AC35,12L12D,MLB,60,2.481,AC35,35,29
12L12D:AD3,12L12D,EMS57,60,11.016,AD3,3,30
12L12D:AD4,12L12D,EMS57,60,9.213,AD4,4,30
12L12D:AD5,12L12D,EMS57,60,9.208,AD5,5,30
12L12D:AD6,12L12D,EMS57,60,9.542,AD6,6,30
12L12D:AD7,12L12D,EMS57,60,6.959,AD7,7,30
12L12D:AD8,12L12D,EMS57,60,8.692,AD8,8,30
12L12D:AD9,12L12D,EMS57,60,10.415,AD9,9,30
12L12D:AD10,12L12D,EMS57,60,7.442,AD10,10,30
12L12D:AD11,12L12D,EMS57,60,8.749,AD11,11,30
12L12D:AD12,12L12D,EMS57,60,11.026,AD12,12,30
12L12D:AD13,12L12D,EMS57,60,9.026,AD13,13,30
12L12D:AD14,12L12D,EMS57,60,8.339,AD14,14,30
12L12D:AD15,12L12D,EMS57,60,8.423,AD15,15,30
12L12D:AD16,12L12D,EMS57,60,7.421,AD16,16,30
12L12D:AD17,12L12D,EMS57,60,8.568,AD17,17,30
12L12D:AD18,12L12D,EMS57,60,9.995,AD18,18,30
12L12D:AE3,12L12D,phyAB,60,10.582,AE3,3,31
12L12D:AE4,12L12D,phyAB,60,10.923,AE4,4,31
12L12D:AE5,12L12D,phyAB,60,9.554,AE5,5,31
12L12D:AE6,12L12D,phyAB,60,9.757,AE6,6,31
12L12D:AE7,12L12D,phyAB,60,9.402,AE7,7,31
12L12D:AE8,12L12D,phyAB,60,11.181,AE8,8,31
12L12D:AE9,12L12D,phyAB,60,11.318,AE9,9,31
12L12D:AE10,12L12D,phyAB,60,11.154,AE10,10,31
12L12D:AE11,12L12D,phyAB,60,11.584,AE11,11,31
12L12D:AE12,12L12D,phyAB,60,11.681,AE12,12,31
12L12D:AE13,12L12D,phyAB,60,9.247,AE13,13,31
12L12D:AE14,12L12D,phyAB,60,11.787,AE14,14,31
12L12D:AE15,12L12D,phyAB,60,10.943,AE15,15,31
12L12D:AE16,12L12D,phyAB,60,9.428,AE16,16,31
12L12D:AE17,12L12D,phyAB,60,10.903,AE17,17,31
12L12D:AE18,12L12D,phyAB,60,11.576,AE18,18,31
12L12D:AE19,12L12D,phyAB,60,10.337,AE19,19,31
12L12D:AE20,12L12D,phyAB,60,9.635,AE20,20,31
12L12D:AE21,12L12D,phyAB,60,11.116,AE21,21,31
12L12D:AE22,12L12D,phyAB,60,10.397,AE22,22,31
12L12D:AE23,12L12D,phyAB,60,9.842,AE23,23,31
12L12D:AE24,12L12D,phyAB,60,10.447,AE24,24,31
12L12D:AE25,12L12D,phyAB,60,11.497,AE25,25,31
12L12D:AE26,12L12D,phyAB,60,11.102,AE26,26,31
12L12D:AE27,12L12D,phyAB,60,10.513,AE27,27,31
12L12D:AE28,12L12D,phyAB,60,10.54,AE28,28,31
12L12D:AE29,12L12D,phyAB,60,12.221,AE29,29,31
12L12D:AE30,12L12D,phyAB,60,11.828,AE30,30,31
12L12D:AF3,12L12D,Col-0,72,4.439,AF3,3,32
12L12D:AF4,12L12D,Col-0,72,3.473,AF4,4,32
12L12D:AF5,12L12D,Col-0,72,5.012,AF5,5,32
12L12D:AF6,12L12D,Col-0,72,3.881,AF6,6,32
12L12D:AF7,12L12D,Col-0,72,3.991,AF7,7,32
12L12D:AF8,12L12D,Col-0,72,4.632,AF8,8,32
12L12D:AF9,12L12D,Col-0,72,4.146,AF9,9,32
12L12D:AF10,12L12D,Col-0,72,4.492,AF10,10,32
12L12D:AF11,12L12D,Col-0,72,3.503,AF11,11,32
12L12D:AF12,12L12D,Col-0,72,4.772,AF12,12,32
12L12D:AF13,12L12D,Col-0,72,4.911,AF13,13,32
12L12D:AF14,12L12D,Col-0,72,3.602,AF14,14,32
12L12D:AF15,12L12D,Col-0,72,3.677,AF15,15,32
12L12D:AF16,12L12D,Col-0,72,3.968,AF16,16,32
12L12D:AF17,12L12D,Col-0,72,3.875,AF17,17,32
12L12D:AF18,12L12D,Col-0,72,4.904,AF18,18,32
12L12D:AF19,12L12D,Col-0,72,5.165,AF19,19,32
12L12D:AF20,12L12D,Col-0,72,6.199,AF20,20,32
12L12D:AF21,12L12D,Col-0,72,5.107,AF21,21,32
12L12D:AF22,12L12D,Col-0,72,4.893,AF22,22,32
12L12D:AF23,12L12D,Col-0,72,4.996,AF23,23,32
12L12D:AF24,12L12D,Col-0,72,5.416,AF24,24,32
12L12D:AF25,12L12D,Col-0,72,4.117,AF25,25,32
12L12D:AF26,12L12D,Col-0,72,5.734,AF26,26,32
12L12D:AF27,12L12D,Col-0,72,4.859,AF27,27,32
12L12D:AG3,12L12D,hy5,72,12.004,AG3,3,33
12L12D:AG4,12L12D,hy5,72,9.976,AG4,4,33
12L12D:AG5,12L12D,hy5,72,11.445,AG5,5,33
12L12D:AG6,12L12D,hy5,72,10.002,AG6,6,33
12L12D:AG7,12L12D,hy5,72,9.378,AG7,7,33
12L12D:AG8,12L12D,hy5,72,13.498,AG8,8,33
12L12D:AG9,12L12D,hy5,72,10.089,AG9,9,33
12L12D:AG10,12L12D,hy5,72,13.851,AG10,10,33
12L12D:AG11,12L12D,hy5,72,10.562,AG11,11,33
12L12D:AG12,12L12D,hy5,72,10.877,AG12,12,33
12L12D:AG13,12L12D,hy5,72,11.068,AG13,13,33
12L12D:AG14,12L12D,hy5,72,8.862,AG14,14,33
12L12D:AG15,12L12D,hy5,72,8.822,AG15,15,33
12L12D:AG16,12L12D,hy5,72,10.73,AG16,16,33
12L12D:AG17,12L12D,hy5,72,10.021,AG17,17,33
12L12D:AG18,12L12D,hy5,72,9.991,AG18,18,33
12L12D:AG19,12L12D,hy5,72,12.661,AG19,19,33
12L12D:AG20,12L12D,hy5,72,11.013,AG20,20,33
12L12D:AG21,12L12D,hy5,72,10.797,AG21,21,33
12L12D:AG22,12L12D,hy5,72,10.781,AG22,22,33
12L12D:AG23,12L12D,hy5,72,10.041,AG23,23,33
12L12D:AG24,12L12D,hy5,72,9.489,AG24,24,33
12L12D:AG25,12L12D,hy5,72,10.642,AG25,25,33
12L12D:AG26,12L12D,hy5,72,9.644,AG26,26,33
12L12D:AG27,12L12D,hy5,72,9.856,AG27,27,33
12L12D:AG28,12L12D,hy5,72,11.772,AG28,28,33
12L12D:AG29,12L12D,hy5,72,11.42,AG29,29,33
12L12D:AG30,12L12D,hy5,72,11.066,AG30,30,33
12L12D:AG31,12L12D,hy5,72,10.039,AG31,31,33
12L12D:AG32,12L12D,hy5,72,11.595,AG32,32,33
12L12D:AH3,12L12D,MLB,72,1.784,AH3,3,34
12L12D:AH4,12L12D,MLB,72,2.006,AH4,4,34
12L12D:AH5,12L12D,MLB,72,5.19,AH5,5,34
12L12D:AH6,12L12D,MLB,72,2.926,AH6,6,34
12L12D:AH7,12L12D,MLB,72,1.715,AH7,7,34
12L12D:AH8,12L12D,MLB,72,3.074,AH8,8,34
12L12D:AH9,12L12D,MLB,72,2.063,AH9,9,34
12L12D:AH10,12L12D,MLB,72,2.066,AH10,10,34
12L12D:AH11,12L12D,MLB,72,3.753,AH11,11,34
12L12D:AH12,12L12D,MLB,72,2.949,AH12,12,34
12L12D:AH13,12L12D,MLB,72,2.737,AH13,13,34
12L12D:AH14,12L12D,MLB,72,2.365,AH14,14,34
12L12D:AH15,12L12D,MLB,72,2.481,AH15,15,34
12L12D:AH16,12L12D,MLB,72,3.736,AH16,16,34
12L12D:AH17,12L12D,MLB,72,1.913,AH17,17,34
12L12D:AH18,12L12D,MLB,72,2.388,AH18,18,34
12L12D:AH19,12L12D,MLB,72,5.326,AH19,19,34
12L12D:AH20,12L12D,MLB,72,4.658,AH20,20,34
12L12D:AH21,12L12D,MLB,72,2.603,AH21,21,34
12L12D:AH22,12L12D,MLB,72,2.633,AH22,22,34
12L12D:AH23,12L12D,MLB,72,4.008,AH23,23,34
12L12D:AH24,12L12D,MLB,72,1.941,AH24,24,34
12L12D:AH25,12L12D,MLB,72,4.149,AH25,25,34
12L12D:AH26,12L12D,MLB,72,4.668,AH26,26,34
12L12D:AH27,12L12D,MLB,72,2.663,AH27,27,34
12L12D:AH28,12L12D,MLB,72,3.037,AH28,28,34
