observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column
12L12D:F15,12L12D,phyAB,0,1.54,F15,15,6
12L12D:F16,12L12D,phyAB,0,2.019,F16,16,6
12L12D:F17,12L12D,phyAB,0,1.515,F17,17,6
12L12D:F18,12L12D,phyAB,0,1.458,F18,18,6
12L12D:F19,12L12D,phyAB,0,1.534,F19,19,6
12L12D:F20,12L12D,phyAB,0,1.328,F20,20,6
12L12D:F21,12L12D,phyAB,0,1.383,F21,21,6
12L12D:F22,12L12D,phyAB,0,2.06,F22,22,6
12L12D:F23,12L12D,phyAB,0,1.863,F23,23,6
12L12D:F24,12L12D,phyAB,0,1.332,F24,24,6
12L12D:F25,12L12D,phyAB,0,1.253,F25,25,6
12L12D:F26,12L12D,phyAB,0,1.627,F26,26,6
12L12D:F27,12L12D,phyAB,0,1.504,F27,27,6
12L12D:F28,12L12D,phyAB,0,1.338,F28,28,6
12L12D:F29,12L12D,phyAB,0,1.541,F29,29,6
12L12D:F30,12L12D,phyAB,0,1.459,F30,30,6
12L12D:F31,12L12D,phyAB,0,2.034,F31,31,6
12L12D:F32,12L12D,phyAB,0,1.898,F32,32,6
12L12D:F33,12L12D,phyAB,0,1.66,F33,33,6
12L12D:F34,12L12D,phyAB,0,1.519,F34,34,6
12L12D:F35,12L12D,phyAB,0,2.01,F35,35,6
12L12D:F36,12L12D,phyAB,0,1.587,F36,36,6
12L12D:G3,12L12D,Col-0,12,1.647,G3,3,7
12L12D:G4,12L12D,Col-0,12,2.136,G4,4,7
12L12D:G5,12L12D,Col-0,12,1.513,G5,5,7
12L12D:G6,12L12D,Col-0,12,0.916,G6,6,7
12L12D:G7,12L12D,Col-0,12,1.838,G7,7,7
12L12D:G8,12L12D,Col-0,12,2.144,G8,8,7
12L12D:G9,12L12D,Col-0,12,2.428,G9,9,7
12L12D:G10,12L12D,Col-0,12,1.479,G10,10,7
12L12D:G11,12L12D,Col-0,12,1.629,G11,11,7
12L12D:G12,12L12D,Col-0,12,2.208,G12,12,7
12L12D:G13,12L12D,Col-0,12,1.534,G13,13,7
12L12D:G14,12L12D,Col-0,12,1.623,G14,14,7
12L12D:G15,12L12D,Col-0,12,1.496,G15,15,7
12L12D:G16,12L12D,Col-0,12,1.84,G16,16,7
12L12D:G17,12L12D,Col-0,12,1.148,G17,17,7
12L12D:G18,12L12D,Col-0,12,1.735,G18,18,7
12L12D:G19,12L12D,Col-0,12,1.302,G19,19,7
12L12D:G20,12L12D,Col-0,12,1.571,G20,20,7
12L12D:G21,12L12D,Col-0,12,1.689,G21,21,7
12L12D:G22,12L12D,Col-0,12,1.82,G22,22,7
12L12D:G23,12L12D,Col-0,12,1.915,G23,23,7
12L12D:G24,12L12D,Col-0,12,1.193,G24,24,7
12L12D:G25,12L12D,Col-0,12,1.078,G25,25,7
12L12D:G26,12L12D,Col-0,12,1.853,G26,26,7
12L12D:G27,12L12D,Col-0,12,1.254,G27,27,7
12L12D:G28,12L12D,Col-0,12,1.362,G28,28,7
12L12D:G29,12L12D,Col-0,12,1.413,G29,29,7
12L12D:G30,12L12D,Col-0,12,1.193,G30,30,7
12L12D:G31,12L12D,Col-0,12,1.375,G31,31,7
12L12D:G32,12L12D,Col-0,12,1.234,G32,32,7
12L12D:G33,12L12D,Col-0,12,1.377,G33,33,7
12L12D:G34,12L12D,Col-0,12,0.917,G34,34,7
12L12D:H3,12L12D,hy5,12,5.683,H3,3,8
12L12D:H4,12L12D,hy5,12,5.596,H4,4,8
12L12D:H5,12L12D,hy5,12,4.803,H5,5,8
12L12D:H6,12L12D,hy5,12,4.461,H6,6,8
12L12D:H7,12L12D,hy5,12,7.417,H7,7,8
12L12D:H8,12L12D,hy5,12,5.318,H8,8,8
12L12D:H9,12L12D,hy5,12,4.698,H9,9,8
12L12D:H10,12L12D,hy5,12,4.767,H10,10,8
12L12D:H11,12L12D,hy5,12,4.577,H11,11,8
12L12D:H12,12L12D,hy5,12,4.228,H12,12,8
12L12D:H13,12L12D,hy5,12,4.147,H13,13,8
12L12D:H14,12L12D,hy5,12,5.273,H14,14,8
12L12D:H15,12L12D,hy5,12,4.568,H15,15,8
12L12D:H16,12L12D,hy5,12,4.867,H16,16,8
12L12D:H17,12L12D,hy5,12,4.216,H17,17,8
12L12D:H18,12L12D,hy5,12,4.323,H18,18,8
12L12D:H19,12L12D,hy5,12,5.062,H19,19,8
12L12D:H20,12L12D,hy5,12,4.874,H20,20,8
12L12D:H21,12L12D,hy5,12,3.947,H21,21,8
12L12D:H22,12L12D,hy5,12,5.718,H22,22,8
12L12D:H23,12L12D,hy5,12,5.01,H23,23,8
12L12D:H24,12L12D,hy5,12,5.293,H24,24,8
12L12D:H25,12L12D,hy5,12,4.535,H25,25,8
12L12D:H26,12L12D,hy5,12,4.531,H26,26,8
12L12D:H27,12L12D,hy5,12,4.961,H27,27,8
12L12D:H28,12L12D,hy5,12,5.448,H28,28,8
12L12D:I3,12L12D,MLB,12,1.638,I3,3,9
12L12D:I4,12L12D,MLB,12,1.383,I4,4,9
12L12D:I5,12L12D,MLB,12,1.384,I5,5,9
12L12D:I6,12L12D,MLB,12,1.669,I6,6,9
12L12D:I7,12L12D,MLB,12,1.736,I7,7,9
12L12D:I8,12L12D,MLB,12,1.291,I8,8,9
12L12D:I9,12L12D,MLB,12,1.651,I9,9,9
12L12D:I10,12L12D,MLB,12,1.187,I10,10,9
12L12D:I11,12L12D,MLB,12,1.168,I11,11,9
12L12D:I12,12L12D,MLB,12,1.401,I12,12,9
12L12D:I13,12L12D,MLB,12,1.46,I13,13,9
12L12D:I14,12L12D,MLB,12,1.293,I14,14,9
12L12D:I15,12L12D,MLB,12,1.475,I15,15,9
12L12D:I16,12L12D,MLB,12,1.515,I16,16,9
12L12D:I17,12L12D,MLB,12,1.218,I17,17,9
12L12D:I18,12L12D,MLB,12,1.539,I18,18,9
12L12D:I19,12L12D,MLB,12,1.724,I19,19,9
12L12D:I20,12L12D,MLB,12,1.393,I20,20,9
12L12D:I21,12L12D,MLB,12,1.335,I21,21,9
12L12D:I22,12L12D,MLB,12,1.226,I22,22,9
12L12D:I23,12L12D,MLB,12,1.133,I23,23,9
12L12D:I24,12L12D,MLB,12,1.6,I24,24,9
12L12D:I25,12L12D,MLB,12,1.893,I25,25,9
12L12D:I26,12L12D,MLB,12,1.406,I26,26,9
12L12D:I27,12L12D,MLB,12,1.475,I27,27,9
12L12D:I28,12L12D,MLB,12,1.772,I28,28,9
12L12D:I29,12L12D,MLB,12,1.621,I29,29,9
12L12D:I30,12L12D,MLB,12,1.627,I30,30,9
12L12D:I31,12L12D,MLB,12,1.538,I31,31,9
12L12D:I32,12L12D,MLB,12,1.502,I32,32,9
12L12D:I33,12L12D,MLB,12,1.331,I33,33,9
12L12D:I34,12L12D,MLB,12,1.28,I34,34,9
12L12D:I35,12L12D,MLB,12,1.364,I35,35,9
12L12D:I36,12L12D,MLB,12,1.307,I36,36,9
12L12D:I37,12L12D,MLB,12,1.682,I37,37,9
12L12D:I38,12L12D,MLB,12,1.774,I38,38,9
12L12D:I39,12L12D,MLB,12,1.682,I39,39,9
12L12D:J3,12L12D,EMS57,12,4.528,J3,3,10
12L12D:J4,12L12D,EMS57,12,3.538,J4,4,10
12L12D:J5,12L12D,EMS57,12,3.787,J5,5,10
12L12D:J6,12L12D,EMS57,12,3.211,J6,6,10
12L12D:J7,12L12D,EMS57,12,2.571,J7,7,10
12L12D:J8,12L12D,EMS57,12,4.766,J8,8,10
12L12D:J9,12L12D,EMS57,12,4.167,J9,9,10
12L12D:J10,12L12D,EMS57,12,5.398,J10,10,10
12L12D:J11,12L12D,EMS57,12,3.332,J11,11,10
12L12D:J12,12L12D,EMS57,12,3.479,J12,12,10
12L12D:J13,12L12D,EMS57,12,4.358,J13,13,10
12L12D:J14,12L12D,EMS57,12,4.639,J14,14,10
12L12D:J15,12L12D,EMS57,12,4.795,J15,15,10
12L12D:J16,12L12D,EMS57,12,4.123,J16,16,10
12L12D:J17,12L12D,EMS57,12,4.172,J17,17,10
12L12D:K3,12L12D,phyAB,12,4.573,K3,3,11
12L12D:K4,12L12D,phyAB,12,4.406,K4,4,11
12L12D:K5,12L12D,phyAB,12,5.019,K5,5,11
12L12D:K6,12L12D,phyAB,12,4.752,K6,6,11
12L12D:K7,12L12D,phyAB,12,4.427,K7,7,11
12L12D:K8,12L12D,phyAB,12,4.824,K8,8,11
12L12D:K9,12L12D,phyAB,12,5.039,K9,9,11
12L12D:K10,12L12D,phyAB,12,4.837,K10,10,11
12L12D:K11,12L12D,phyAB,12,4.533,K11,11,11
12L12D:K12,12L12D,phyAB,12,4.436,K12,12,11
12L12D:K13,12L12D,phyAB,12,4.994,K13,13,11
12L12D:K14,12L12D,phyAB,12,4.678,K14,14,11
12L12D:K15,12L12D,phyAB,12,4.712,K15,15,11
12L12D:K16,12L12D,phyAB,12,4.668,K16,16,11
12L12D:K17,12L12D,phyAB,12,5.258,K17,17,11
12L12D:K18,12L12D,phyAB,12,5.271,K18,18,11
12L12D:K19,12L12D,phyAB,12,4.9,K19,19,11
12L12D:K20,12L12D,phyAB,12,4.605,K20,20,11
12L12D:K21,12L12D,phyAB,12,4.453,K21,21,11
12L12D:K22,12L12D,phyAB,12,5.135,K22,22,11
