epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse,best_epoch
20,0.13881924748420715,0.0,0.0,0.13881924748420715,2.222977289110422,2.222977289110422,-1
40,0.05845702812075615,0.0,0.0,0.05845702812075615,0.9360629166513682,1.5795201028808952,-1
60,0.03625200688838959,0.0,0.0,0.03625200688838959,0.550146221742034,1.236395475834608,-1
80,0.032096948474645615,0.0,0.0,0.032096948474645615,0.4847412051334977,0.6569834478423,-1
100,0.03060036338865757,0.0,0.0,0.03060036338865757,0.4625247151628137,0.49913738067944846,-1
120,0.029710695147514343,0.0,0.0,0.029710695147514343,0.44711414060741667,0.464793353634576,-1
140,0.0290677547454834,0.0,0.0,0.0290677547454834,0.4376554600968957,0.44909810528904204,-1
160,0.02856726013123989,0.0,0.0,0.02856726013123989,0.43005704483389856,0.438275548512737,-1
180,0.028168249875307083,0.0,0.0,0.028168249875307083,0.4236292988173664,0.43044726791605353,-1
200,0.027807611972093582,0.0,0.0,0.027807611972093582,0.41724400921538474,0.4236434509555499,200
220,0.027432655915617943,0.0,0.0,0.027432655915617943,0.40987879095599056,0.41691736632958054,220
240,0.027040911838412285,0.0,0.0,0.027040911838412285,0.4065256889536977,0.411216163041691,240
260,0.02651689015328884,0.0,0.0,0.02651689015328884,0.40219758120924237,0.40620068703964357,260
280,0.02565748803317547,0.0,0.0,0.02565748803317547,0.39309311190992596,0.4006054606909554,280
300,0.02392302080988884,0.0,0.0,0.02392302080988884,0.37091722853109244,0.38873597388342024,300
320,0.02202017791569233,0.0,0.0,0.02202017791569233,0.35658137112855914,0.3735305705231925,320
340,0.021939633414149284,0.0,0.0,0.021939633414149284,0.34330367198213935,0.35693409054726366,340
360,0.01950802467763424,0.0,0.0,0.01950802467763424,0.34453004476055504,0.3481383626237512,360
380,0.01893680728971958,0.0,0.0,0.01893680728971958,0.33993013242259623,0.34258794972176354,380
400,0.018459537997841835,0.0,0.0,0.018459537997841835,0.33408728840947155,0.3395158218642076,400
420,0.01810135878622532,0.0,0.0,0.01810135878622532,0.33287896632030606,0.33563212905079126,420
440,0.017737267538905144,0.0,0.0,0.017737267538905144,0.32751859783753756,0.33149495085577174,440
460,0.017344294115900993,0.0,0.0,0.017344294115900993,0.32831760190054776,0.3295717220194638,460
480,0.01690489985048771,0.0,0.0,0.01690489985048771,0.32414371566474437,0.3266599718009432,480
500,0.016451572999358177,0.0,0.0,0.016451572999358177,0.32394321875274185,0.325468178772678,500
520,0.016089124605059624,0.0,0.0,0.016089124605059624,0.32269903397187594,0.32359532279645403,520
540,0.01559238601475954,0.0,0.0,0.01559238601475954,0.3207600319162011,0.3224674282136063,540
560,0.01540222018957138,0.0,0.0,0.01540222018957138,0.32271621942147616,0.3220584284365177,560
580,0.0150224594399333,0.0,0.0,0.0150224594399333,0.32005709929019216,0.3211777835426231,580
600,0.014515483751893044,0.0,0.0,0.014515483751893044,0.31894004506617785,0.32057112125928205,600
620,0.01397786196321249,0.0,0.0,0.01397786196321249,0.314962031185627,0.3179863918473323,620
640,0.013596536591649055,0.0,0.0,0.013596536591649055,0.31337118366360667,0.31575775330513717,640
660,0.0132628558203578,0.0,0.0,0.0132628558203578,0.310740914799273,0.3130247098828356,660
680,0.012984680943191051,0.0,0.0,0.012984680943191051,0.30964334338530897,0.3112518139493962,680
700,0.012782243080437183,0.0,0.0,0.012782243080437183,0.30732211425527933,0.3092354574799538,700
720,0.012533987872302532,0.0,0.0,0.012533987872302532,0.3080680403411388,0.3083444993272424,720
740,0.012231535278260708,0.0,0.0,0.012231535278260708,0.3051790648214519,0.30685640647262336,740
760,0.012059705331921577,0.0,0.0,0.012059705331921577,0.30452744985744357,0.3059248516733448,760
780,0.011900094337761402,0.0,0.0,0.011900094337761402,0.3042222291119397,0.30464291459694504,780
800,0.011763577349483967,0.0,0.0,0.011763577349483967,0.3041869929730892,0.3043122239808242,800
820,0.011653969995677471,0.0,0.0,0.011653969995677471,0.30428199031949044,0.30423040413483976,820
840,0.011554363183677197,0.0,0.0,0.011554363183677197,0.30457906587794426,0.30434934972350797,820
860,0.011461269110441208,0.0,0.0,0.011461269110441208,0.3049752561300993,0.304612104109178,820
880,0.011377108283340931,0.0,0.0,0.011377108283340931,0.3054544795528054,0.3050029338536163,820
900,0.011290031485259533,0.0,0.0,0.011290031485259533,0.30597210171446204,0.3054672791324556,820
920,0.011203715577721596,0.0,0.0,0.011203715577721596,0.3065291967056692,0.3059852593243122,820
940,0.011123580858111382,0.0,0.0,0.011123580858111382,0.30711544132232665,0.30653891324748594,820
960,0.011044474318623543,0.0,0.0,0.011044474318623543,0.30771684255078435,0.3071204935262601,820
980,0.010969159193336964,0.0,0.0,0.010969159193336964,0.3083277315795422,0.3077200051508844,820
1000,0.01089690811932087,0.0,0.0,0.01089690811932087,0.30894193238765005,0.30832883550599216,820
1020,0.010828417725861073,0.0,0.0,0.010828417725861073,0.30955338829755785,0.30894101742158336,820
1040,0.010763323865830898,0.0,0.0,0.010763323865830898,0.3101592649035156,0.30955152852957446,820
1060,0.010702175088226795,0.0,0.0,0.010702175088226795,0.3107553553506732,0.3101560028505822,820
1080,0.010645616799592972,0.0,0.0,0.010645616799592972,0.3113472687788308,0.31075396301100655,820
1100,0.010595286265015602,0.0,0.0,0.010595286265015602,0.31189451793953776,0.3113323806896806,820
1120,0.010548976249992847,0.0,0.0,0.010548976249992847,0.31239928084984425,0.31188035585607093,820
1140,0.010506551712751389,0.0,0.0,0.010506551712751389,0.3128598270304501,0.312384541939944,820
1160,0.010467945598065853,0.0,0.0,0.010467945598065853,0.31327555976435545,0.3128448892148833,820
1180,0.010433021001517773,0.0,0.0,0.010433021001517773,0.3136466282308102,0.31326067167520527,820
1200,0.010401656851172447,0.0,0.0,0.010401656851172447,0.3139754789695144,0.31363255565489334,820
1220,0.01037373673170805,0.0,0.0,0.01037373673170805,0.31426446901261806,0.31396219207098086,820
1240,0.010349086485803127,0.0,0.0,0.010349086485803127,0.3145164029300213,0.3142521169707179,820
1260,0.010327580384910107,0.0,0.0,0.010327580384910107,0.31473342890292405,0.31450476694852114,820
1280,0.010309034027159214,0.0,0.0,0.010309034027159214,0.31491912723332643,0.31472298635542395,820
1300,0.010293290950357914,0.0,0.0,0.010293290950357914,0.31507501954957845,0.31490919189527633,820
1320,0.010280178859829903,0.0,0.0,0.010280178859829903,0.31520414910838007,0.31506609863042834,820
1340,0.010269485414028168,0.0,0.0,0.010269485414028168,0.31530893261358145,0.31519603375717997,820
1360,0.010261008515954018,0.0,0.0,0.010261008515954018,0.3153913392312825,0.31530147365108135,820
1380,0.010254527442157269,0.0,0.0,0.010254527442157269,0.31545429287478327,0.31538485490654905,820
1400,0.010249784216284752,0.0,0.0,0.010249784216284752,0.31550012074038386,0.3154485842821499,820
1420,0.010246550664305687,0.0,0.0,0.010246550664305687,0.3155312096960843,0.3154952077704172,820
1440,0.010244534350931644,0.0,0.0,0.010244534350931644,0.3155502449683845,0.3155271918016176,820
1460,0.010243467055261135,0.0,0.0,0.010243467055261135,0.3155602996498346,0.31554725143810114,820
1480,0.010243064723908901,0.0,0.0,0.010243064723908901,0.3155641186386347,0.315558221085618,820
1500,0.010242990218102932,0.0,0.0,0.010242990218102932,0.3155644766688347,0.315562964985768,820
